111048, 4086, 350, -408, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
111080, 4112, 373, -464, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
111113, 4078, 411, -444, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
111145, 4087, 346, -411, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
111178, 4107, 487, -421, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
111210, 4048, 785, -596, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
111243, 4067, 1276, -542, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
111275, 3928, 1742, -671, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
111308, 4164, 2547, -1117, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
111340, 4540, 2016, 118, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
111373, 5269, 2983, -52, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
111406, 5188, 3980, 249, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
111450, 5460, 4566, -74, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
111494, 5045, 4635, 645, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
111538, 4725, 5063, 932, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
111582, 4201, 4965, 1412, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
111627, 3043, 4432, 1555, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
111671, 2300, 3822, 1589, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
111715, 1325, 3509, 1934, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
111759, 529, 2768, 1509, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
111803, -353, 1908, 1506, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
111848, -945, 543, 1064, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
111885, -1475, -31, 911, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
111922, -1640, -1019, 581, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
111959, -1806, -2022, 487, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
111996, -2055, -2335, 354, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
112033, -2395, -3129, 117, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
112070, -2649, -3177, 49, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
112107, -2855, -3178, 81, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
112144, -2934, -3034, -90, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
112181, -2918, -2873, -117, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
112219, -2975, -2875, -62, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
112255, -2937, -2775, -17, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
112291, -2885, -2769, -40, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
112328, -2826, -2779, 19, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
112364, -2784, -2765, 89, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
112400, -2805, -2929, -11, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
112437, -2810, -2861, 59, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
112473, -2898, -2811, 42, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
112509, -2951, -2854, 20, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
112546, -3093, -2747, 129, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
112582, -3061, -2768, 97, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
112619, -3117, -2719, 124, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
112657, -3043, -2581, 140, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
112695, -3099, -2567, 151, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
112733, -3090, -2577, 166, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
112771, -3208, -2456, 293, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
112809, -3246, -2486, 353, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
112847, -3258, -2333, 414, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
112885, -3222, -2336, 407, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
112923, -3345, -2293, 339, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
112961, -3311, -2218, 292, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
112999, -3449, -2035, 426, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
113035, -3328, -2019, 532, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
113072, -3524, -1898, 682, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
113109, -3564, -1801, 785, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
113146, -3581, -1692, 904, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
113183, -3833, -1555, 872, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
113220, -3692, -1413, 949, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
113257, -3774, -1311, 992, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
113294, -3736, -1142, 1071, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
113331, -3674, -1109, 1093, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
113368, -3780, -946, 1201, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
113405, -3669, -843, 1336, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
113443, -3665, -629, 1410, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
113481, -3571, -480, 1508, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
113519, -3476, -375, 1569, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
113557, -3671, -181, 1815, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
113596, -3410, -195, 1875, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
113634, -3384, 49, 2050, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
113672, -3190, 168, 2119, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
113710, -3170, 248, 2262, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
113748, -3119, 451, 2565, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
113787, -2915, 611, 2588, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
113828, -2921, 712, 2795, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
113869, -2710, 900, 2851, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
113910, -2444, 1029, 3037, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
113951, -2418, 1179, 3108, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
113992, -2016, 1079, 3300, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
114033, -2014, 1569, 3501, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
114074, -1793, 1632, 3729, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
114115, -1678, 1951, 3758, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
114156, -1546, 1833, 3915, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
114198, -1372, 2130, 3850, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
114234, -1272, 1961, 3771, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
114271, -1051, 1740, 3732, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
114308, -1049, 2140, 3771, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
114344, -918, 2075, 3710, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
114381, -959, 2975, 3280, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
114418, -826, 2313, 3098, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
114455, -808, 3457, 2757, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
114491, -887, 2846, 2609, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
114528, -615, 3062, 2589, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
114565, -805, 3739, 2305, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
114602, -658, 3341, 2230, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
114642, -683, 3599, 2037, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
