10479, 4064, 855, -20, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
10521, 4072, 824, -24, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
10563, 4028, 865, -66, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
10605, 4024, 886, -72, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
10647, 3998, 975, -121, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
10689, 3994, 1209, -151, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
10728, 4027, 1186, 73, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
10768, 3973, 2063, 205, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
10807, 4322, 2312, 409, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
10847, 4133, 3628, -44, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
10886, 4363, 3554, -14, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
10926, 4778, 4045, -83, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
10965, 4833, 3838, -118, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
11005, 4232, 4403, -12, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
11044, 3851, 5075, 540, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
11084, 3468, 4563, 1189, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
11117, 2642, 4595, 1282, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
11151, 1796, 3755, 836, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
11185, 793, 3115, 1364, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
11218, 121, 3223, 1639, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
11252, -1054, 1617, 1657, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
11286, -1678, 1732, 2017, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
11320, -2334, 258, 1281, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
11353, -2784, 392, 1541, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
11387, -2873, -1299, 856, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
11421, -3277, -591, 665, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
11455, -2681, -1710, 503, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
11494, -2256, -1884, 232, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
11534, -2098, -2144, 144, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
11574, -1750, -2689, -244, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
11614, -1918, -2842, -357, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
11654, -1781, -2990, -326, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
11694, -2317, -2760, -102, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
11734, -2588, -2249, 85, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
11774, -2661, -1914, 188, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
11814, -2748, -1465, 413, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
11854, -2878, -832, 738, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
