9468, 3913, 1260, 62, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
9507, 3940, 1116, -34, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
9547, 3928, 1129, -36, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
9583, 3919, 1225, 13, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
9620, 3950, 1258, -13, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
9656, 3947, 1236, 66, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
9693, 3898, 1293, 188, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
9729, 3890, 1562, 295, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
9766, 4012, 1869, 305, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
9802, 3866, 2724, 324, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
9839, 4115, 2999, 241, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
9875, 4265, 3261, 354, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
9912, 4339, 3431, 243, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
9949, 4417, 3607, 407, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
9991, 4379, 3804, 591, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
10034, 3964, 4359, 807, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
10076, 3561, 4214, 1393, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
10119, 2786, 4535, 1301, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
10161, 1868, 4117, 1703, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
10204, 1041, 4183, 2078, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
10246, 233, 3172, 1624, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
10289, -687, 3120, 1988, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
10331, -1388, 2320, 1556, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
10374, -1913, 1886, 1407, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
10412, -2394, 1059, 1286, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
10451, -2654, 39, 850, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
10490, -2766, -424, 1035, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
10528, -2166, -1238, 788, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
10567, -1959, -2076, -39, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
10606, -1623, -2860, -752, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
10645, -1704, -2943, -500, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
10683, -1782, -2867, -462, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
10722, -2083, -2526, -209, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
10761, -2751, -2156, -117, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
10800, -3164, -1524, -217, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
