13628, 3826, 1526, -339, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
13666, 3832, 1522, -324, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
13705, 3831, 1517, -317, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
13744, 3818, 1545, -311, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
13782, 3807, 1521, -335, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
13821, 3824, 1526, -361, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
13859, 3838, 1541, -321, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
13898, 3727, 1670, -347, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
13937, 3881, 1952, -21, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
13975, 3880, 2344, -122, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
14014, 4071, 2782, -125, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
14053, 3894, 3095, -70, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
14092, 3720, 2948, 43, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
14131, 3406, 3326, -250, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
14169, 3811, 3960, 80, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
14208, 3543, 4247, 154, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
14247, 3255, 4812, 533, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
14286, 3037, 4521, 1128, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
14325, 2046, 4573, 1262, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
14362, 1375, 4998, 1348, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
14399, 881, 4337, 1508, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
14436, 187, 4074, 1407, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
14473, -389, 3469, 1674, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
