30779, 4023, 862, -511, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
30814, 4004, 862, -490, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
30850, 4007, 855, -476, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
30885, 4005, 885, -484, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
30921, 3996, 903, -480, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
30956, 3963, 1197, -438, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
30992, 3996, 1439, -417, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
31032, 3655, 1908, -518, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
31073, 3873, 2280, -156, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
31113, 4151, 2437, 459, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
31154, 4314, 2724, 798, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
31194, 4367, 4278, 467, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
31235, 4837, 2982, 1141, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
31275, 4930, 3799, 670, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
31316, 5215, 3322, 1404, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
31356, 5014, 3671, 1198, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
31397, 4829, 3765, 1739, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
31433, 4446, 3699, 1621, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
31470, 3812, 3453, 2332, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
31507, 2749, 3459, 2414, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
31543, 2043, 2981, 2453, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
31580, 702, 1851, 2591, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
31617, -256, 1556, 2356, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
31654, -853, 782, 1957, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
31690, -1511, 323, 2299, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
31727, -1819, -598, 1315, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
31764, -2206, -606, 1325, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
31801, -2187, -1199, 759, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
31843, -2210, -1338, 302, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
31885, -1903, -1750, -108, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
31927, -1936, -2416, -554, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
31970, -1494, -2105, -1000, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
32012, -1248, -4354, -1958, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
32054, -1382, -6675, -2822, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
32097, -1697, -4038, -1774, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
32139, -1544, -4516, -1775, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
32181, -1868, -3177, -1482, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
32224, -2091, -2793, -1047, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
32261, -2314, -1918, -748, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
32299, -2341, -1955, -23, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
32337, -2624, -1054, 279, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
32375, -2738, -683, 1199, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
32413, -2726, -161, 1724, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
32451, -2616, 223, 1904, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
32489, -1841, 1345, 3738, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
32527, -2593, 1874, 2334, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
32565, -1472, 2072, 4125, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
32603, -2572, 3263, 3382, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
32642, -1374, 1542, 3092, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
32682, -1909, 4719, 3170, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
32721, -1117, 2322, 3401, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
32761, -1268, 3738, 3831, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
32801, -1323, 3322, 3640, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
32840, -1297, 3433, 3028, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
32880, -1430, 3741, 2657, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
32920, -1353, 3890, 2156, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
32959, -1484, 3926, 1784, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
32999, -1328, 4255, 1323, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
33039, -1614, 4028, 601, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
33075, -1352, 3675, 121, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
33112, -1418, 3595, 384, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
33149, -1361, 4368, -139, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
33185, -1172, 3769, -514, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
33222, -987, 3458, -1047, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
33259, -1056, 3864, -1197, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
33295, -904, 3845, -826, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
33332, -1195, 3761, -1461, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
33369, -1483, 3499, -1707, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
33406, -1366, 3508, -1619, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
33442, -1657, 3091, -1684, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
33478, -1371, 3371, -1981, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
33515, -1451, 3345, -1856, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
33551, -1698, 3177, -1843, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
33588, -1606, 3354, -1942, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
33624, -1624, 3450, -2337, 85, bfa97447-b3e3-48b3-a5de-397662a9d56e, , takbir, takbiratulihram, , 
