85948, 4106, 277, -363, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
85990, 4108, 309, -378, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
86032, 4116, 311, -398, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
86074, 4104, 280, -364, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
86116, 4076, 349, -388, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
86158, 4124, 727, -441, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
86200, 4122, 811, -530, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
86238, 3958, 1135, -657, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
86276, 3922, 1539, -767, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
86314, 4416, 2241, -989, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
86352, 4329, 2055, -337, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
86390, 5059, 2029, 9, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
86428, 4845, 3835, -1137, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
86466, 5172, 4269, -1457, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
86504, 5200, 4136, -442, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
86542, 4707, 4225, 201, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
86581, 3902, 4389, 1307, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
86619, 2702, 4059, 1724, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
86657, 1730, 4095, 1954, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
86695, 567, 3505, 2033, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
86733, -38, 2989, 2077, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
86771, -699, 2244, 1832, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
86809, -1362, 1151, 1589, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
86847, -1469, 1330, 1709, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
86885, -1747, -550, 595, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
86923, -1430, -1505, 306, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
86961, -1988, -1952, 242, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
86999, -2572, -1711, 547, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
87036, -3310, -1236, 1154, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
87073, -3952, -1134, 970, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
87110, -4027, -1319, 837, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
87148, -3717, -1817, 684, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
87185, -3655, -1845, 595, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
87222, -3458, -1803, 631, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
87260, -3417, -1678, 624, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
