33934, 3740, 1689, -346, 82, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
33970, 3740, 1698, -350, 82, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
34007, 3747, 1683, -349, 82, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
34043, 3759, 1841, -387, 82, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
34080, 3714, 1874, -240, 82, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
34116, 4022, 2156, 238, 82, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
34153, 3850, 2395, 390, 82, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
34189, 4356, 3337, 570, 82, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
34226, 4218, 3879, 595, 82, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
34262, 4219, 3853, 832, 82, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
34299, 4178, 4007, 1264, 82, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
34336, 4100, 4374, 1377, 82, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
34376, 3850, 4042, 1715, 82, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
34417, 3534, 4168, 1649, 82, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
34457, 3362, 4270, 1938, 82, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
34498, 2693, 3903, 2189, 82, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
34539, 2066, 3622, 2003, 82, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
34579, 1324, 2754, 2422, 82, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
34620, 774, 2462, 2244, 82, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
34660, -196, 1521, 2306, 82, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
34701, -521, 1751, 2380, 82, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
34742, -1508, -172, 1445, 82, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
34783, -1548, 146, 2017, 82, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
34825, -2319, -945, 1272, 82, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
34867, -2396, -1260, 1435, 82, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
34908, -2635, -1220, 1474, 82, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
34950, -2686, -1599, 1152, 82, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
34992, -2774, -1654, 1165, 82, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
35033, -2866, -1737, 1122, 82, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
35075, -2915, -1949, 991, 82, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
35117, -2993, -2685, 439, 82, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
35159, -2943, -3037, 378, 82, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
35193, -2819, -3257, 438, 80, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
35227, -2829, -2947, 799, 80, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
35261, -3039, -2546, 1057, 80, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
35295, -3166, -2008, 1304, 80, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
35329, -3189, -2022, 1584, 80, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
35364, -3300, -1917, 1816, 80, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
35398, -3415, -1777, 1765, 80, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
35432, -3480, -1918, 1620, 80, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
35466, -3444, -1884, 1475, 80, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
35500, -3327, -1988, 1523, 80, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
35535, -3264, -2037, 1516, 80, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
35574, -3257, -2004, 1432, 80, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
35613, -3283, -2053, 1435, 80, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
35652, -3227, -2028, 1385, 80, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
35691, -3278, -2000, 1500, 80, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
35730, -3255, -2027, 1522, 80, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
35769, -3271, -1958, 1520, 80, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
35808, -3291, -1990, 1455, 80, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
35847, -3250, -1997, 1428, 80, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
35886, -3246, -2010, 1402, 80, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
35926, -3192, -2050, 1274, 80, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
35966, -3113, -2574, 816, 80, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
36007, -2878, -2833, -151, 80, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
36048, -2110, -2308, -749, 80, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
36089, -1657, -1805, -917, 80, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
36130, -1149, -826, -1027, 80, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
36170, -751, 157, -4, 80, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
36211, 297, 2341, 2171, 80, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
36252, -177, 3305, 3368, 80, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
36293, 1523, 4362, 4885, 80, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
36334, 1910, 5395, 4674, 80, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
36370, 2708, 5295, 5268, 79, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
36406, 2622, 4432, 4614, 79, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
36443, 2511, 3501, 4493, 79, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
36479, 2129, 2389, 4376, 79, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
36516, 2140, 3136, 4035, 79, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
36552, 2053, 2882, 3947, 79, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
36589, 1786, 2584, 3686, 79, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
36625, 1238, 2188, 3310, 79, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
36662, 1238, 3046, 3166, 79, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
