5293, 4172, 848, -92, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
5336, 4209, 696, 115, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
5380, 4000, 1702, 23, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
5417, 4128, 2380, 152, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
5455, 4470, 2720, 521, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
5493, 4564, 2888, 374, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
5531, 4952, 3870, 652, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
5569, 4780, 4139, 450, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
5607, 4643, 4508, 714, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
5645, 4108, 4501, 969, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
5683, 4177, 5052, 1207, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
5721, 3201, 4412, 1538, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
5759, 2215, 4614, 1427, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
5794, 1111, 3793, 1853, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
5829, 687, 3530, 1852, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
5864, 109, 2601, 1827, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
5900, -1043, 2145, 1594, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
5935, -900, 550, 1470, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
5970, -1528, 70, 799, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
6005, -1165, -1184, 554, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
6041, -1037, -1908, -174, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
6076, -1354, -2246, -268, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
6111, -1752, -4425, -1380, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
6147, -2007, -4447, -1203, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
6188, -2153, -3419, -638, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
6229, -2518, -2809, -559, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
6270, -2927, -2146, -284, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
6311, -2874, -1733, 222, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
6352, -3304, -1082, 586, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
6393, -2894, -734, 1408, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
6434, -2788, -111, 1786, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
6475, -3163, -11, 1891, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
6516, -2991, 760, 2138, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
6557, -2447, 462, 2559, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
6596, -2470, 1601, 2988, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
6635, -2130, 1038, 2960, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
6674, -1952, 1802, 3479, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
6713, -1605, 2378, 4041, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
6752, -1464, 1935, 4532, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
6791, -1381, 2736, 4072, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
6830, -1074, 1720, 4016, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
6869, -678, 2088, 4290, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
6908, -602, 2087, 4003, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
6947, -389, 2327, 3637, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
6986, -293, 2733, 3350, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
7028, -496, 3080, 3102, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
7070, -275, 3123, 3225, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
7112, -298, 2941, 2898, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
7154, -313, 3345, 2561, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
7197, -349, 3657, 2045, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
7239, -472, 4274, 1715, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
7281, -554, 3262, 1751, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
7323, -609, 4066, 1013, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
7365, -667, 4362, 586, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
7408, -667, 4278, 451, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
7446, -543, 4133, 485, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
7484, -514, 4218, 311, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
7522, -440, 4190, 238, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
