87058, 4062, 615, -417, 59, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
87092, 4022, 793, -537, 59, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
87126, 4103, 649, -364, 59, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
87160, 4077, 611, -576, 59, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
87194, 3896, 1005, -683, 59, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
87229, 3947, 918, -562, 59, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
87271, 4038, 963, -438, 59, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
87313, 4179, 874, -303, 59, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
87356, 4030, 1114, -388, 59, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
87398, 3973, 816, -501, 59, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
87441, 3966, 1258, -596, 59, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
87483, 3858, 1698, -492, 59, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
87525, 3842, 1742, -891, 59, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
87568, 3737, 1934, -1020, 59, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
87610, 3733, 2270, -1493, 59, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
87653, 3621, 2400, -1767, 59, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
87686, 3658, 2392, -2438, 59, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
87719, 3492, 2524, -2464, 59, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
87753, 3225, 2766, -2852, 59, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
87786, 3073, 2621, -2922, 59, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
87820, 2626, 2012, -3235, 59, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
87853, 2116, 2727, -3123, 59, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
87887, 1780, 1869, -3402, 59, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
87920, 1345, 2374, -3001, 59, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
87954, 758, 1715, -3804, 59, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
87987, 534, 2103, -3009, 59, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
88021, -26, 1542, -3145, 59, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
88066, -388, 1541, -3083, 61, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
88111, -693, 1398, -2740, 61, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
88156, -924, 1459, -2963, 61, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
88202, -1182, 1356, -2537, 61, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
88247, -1230, 1493, -2985, 61, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
88292, -1293, 1340, -2800, 61, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
88338, -1309, 1596, -3156, 61, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
88383, -1399, 1331, -2966, 61, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
88428, -1557, 1556, -3224, 61, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
88474, -1568, 1492, -3267, 61, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
88508, -1699, 1419, -3180, 61, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
88543, -1715, 1439, -3358, 61, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
88577, -1769, 1437, -3332, 61, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
88612, -1763, 1473, -3361, 61, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
88647, -1769, 1487, -3146, 61, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
88681, -1740, 1511, -3369, 61, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
88716, -1671, 1671, -3210, 61, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
88750, -1657, 1569, -3448, 61, 0662c854-985b-4255-a3bd-2fa479699408, , transisi, transisi_berdiri_ke_qunut, , 
