32564, 4040, 424, -478, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
32599, 4082, 301, -453, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
32633, 4156, 351, -467, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
32668, 4124, 364, -449, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
32703, 4090, 477, -530, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
32738, 4057, 697, -429, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
32773, 4039, 844, -564, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
32808, 4170, 395, -298, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
32847, 4025, 695, -382, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
32887, 3836, 1408, -643, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
32927, 4025, 1250, -605, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
32966, 3934, 1094, -480, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
33006, 4033, 1239, -368, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
33046, 4074, 1741, -403, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
33085, 4092, 1491, -537, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
33125, 4106, 1853, -942, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
33165, 4078, 2131, -966, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
33205, 4337, 2330, -1188, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
33251, 4112, 2750, -1613, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
33298, 4099, 2918, -2204, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
