185880, 3832, 1519, -159, 87, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
185915, 3865, 1560, -163, 87, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
185951, 3881, 1514, -47, 87, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
185986, 3857, 1481, -13, 87, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
186022, 3941, 1403, 89, 87, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
186062, 3849, 1770, -5, 87, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
186103, 3762, 2114, -346, 87, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
186144, 3621, 2284, -517, 87, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
186184, 3616, 2372, -814, 87, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
186225, 3643, 2821, -1181, 87, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
186266, 3511, 2835, -1460, 87, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
186306, 3499, 2752, -1740, 87, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
186347, 3331, 2888, -1886, 87, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
186388, 3125, 2854, -2238, 87, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
186429, 2980, 2742, -2732, 87, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
186472, 2663, 2788, -2711, 88, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
186516, 2380, 2450, -3100, 88, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
186559, 1968, 2352, -2959, 88, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
186603, 1580, 2261, -3202, 88, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
186646, 1195, 1748, -3192, 88, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
186690, 856, 1900, -2955, 88, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
186733, 523, 1619, -3104, 88, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
186777, 119, 1616, -3112, 88, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
186820, 71, 1579, -2784, 88, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
186864, -367, 1525, -3181, 88, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
186900, -476, 1551, -3357, 88, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
186936, -639, 1508, -3220, 88, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
186972, -792, 1526, -3666, 88, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
187008, -837, 1458, -3281, 88, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
187044, -873, 1328, -3801, 88, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
187081, -825, 1747, -3523, 88, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
187117, -972, 1611, -3750, 88, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
187153, -1044, 1459, -3728, 88, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
187189, -1022, 1545, -3529, 88, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
187225, -1015, 1359, -3740, 88, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
187262, -1079, 1405, -3608, 88, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
187298, -1048, 1400, -3635, 88, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
187335, -1073, 1321, -3624, 88, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
187372, -1052, 1319, -3527, 88, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
187408, -1152, 1366, -3452, 88, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
187445, -1087, 1297, -3669, 88, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
187482, -1127, 1452, -3448, 88, cbca6ca7-dc13-44cf-a56a-25bd5c024c21, , transisi, transisi_berdiri_ke_qunut, , 
