122953, -1082, 3896, -792, 103, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
122990, -1095, 3844, -831, 103, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
123026, -1081, 3845, -772, 103, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
123063, -1184, 3782, -708, 103, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
123099, -1358, 3986, -570, 103, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
123136, -1568, 4149, -150, 103, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
123178, -1583, 4338, -10, 103, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
123220, 325, 3359, 325, 103, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
123262, -1421, 3221, 157, 103, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
123304, -656, 4749, 137, 103, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
123346, -2659, 4568, 422, 103, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
123388, -2343, 3649, 737, 103, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
123430, -3139, 3800, 1165, 103, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
123472, -3451, 3323, 1382, 103, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
123514, -3587, 1914, 1610, 103, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
123556, -3781, 1349, 1764, 103, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
123590, -3431, 1243, 1701, 102, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
123624, -3111, 169, 1547, 102, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
123658, -2068, -980, 928, 102, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
123692, -1133, -1625, -19, 102, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
123726, -657, -3522, -998, 102, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
123761, -701, -3227, -1369, 102, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
