123140, -157, 3857, -1784, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
123172, -318, 4025, -1964, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
123204, -574, 3664, -1593, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
123236, 218, 4867, -1547, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
123268, 757, 5190, -1634, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
123300, 1368, 5680, -1267, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
123332, 1135, 4539, -103, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
123365, 1769, 3812, 276, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
123406, 354, 3694, 543, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
123447, -547, 5257, 4, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
123488, -1821, 6419, -1344, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
123529, -2976, 5385, -1079, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
123571, -2977, 5174, -1269, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
123612, -2796, 5347, -665, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
123653, -2370, 2903, -89, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
