81683, -598, 3983, -1245, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
81719, -782, 4241, -982, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
81755, 436, 4888, -820, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
81791, -786, 4753, -633, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
81827, -796, 7634, 258, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
81864, -1233, 5552, 621, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
81905, -1417, 4566, 1173, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
81946, -2035, 5504, 900, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
81987, -1832, 4534, 1145, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
82028, -2374, 3775, 1412, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
82069, -2690, 2193, 1130, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
82110, -3628, 1254, 1181, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
82151, -3640, 628, 906, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
82192, -2976, -285, 740, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
82233, -1815, -1028, 252, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
82275, -1191, -2143, -734, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
82310, -676, -3295, -1376, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
82345, -463, -2964, -1352, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
82380, -280, -2921, -1216, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
82416, -80, -2730, -865, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
82451, 74, -1899, -430, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
82486, 500, -1035, -334, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
82521, 956, -78, 207, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
82557, 2120, 1582, 1297, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
82592, 1486, 3395, 1868, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
82627, 4324, 3061, 2028, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
82663, 8074, 3723, 1105, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
82703, 11756, 5485, 1894, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
82743, 10600, 6403, 2927, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
82783, 6978, 3898, 2899, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
82823, 4231, 3172, 2349, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
