51474, -1002, 3582, -1745, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
51515, -959, 3565, -1786, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
51556, -803, 3628, -1835, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
51597, -690, 3418, -1592, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
51638, -978, 3532, -1751, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
51679, -1024, 3757, -1877, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
51720, -961, 3600, -1600, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
51761, -1011, 3739, -1802, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
51802, -1200, 3605, -1837, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
51843, -1174, 3441, -1784, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
51884, -1262, 3723, -1747, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
51926, -1286, 4131, -1140, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
51967, -1312, 4404, -1094, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
52009, -1398, 4759, -1055, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
52050, -1951, 5188, -355, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
52092, -2680, 5243, -595, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
52133, -3010, 4632, -253, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
52175, -3506, 4971, 931, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
52216, -3438, 4768, 999, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
52258, -3482, 4562, 959, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
52299, -3177, 2715, 1226, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
52340, -2021, 1573, 752, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
52382, -1144, -174, 804, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
52423, -662, -1411, 524, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
52465, -466, -913, -779, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
52506, -276, -3887, -451, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
52547, -3, -2819, -59, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
52589, -1, -2568, -138, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
52630, 229, -1704, -63, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
52672, 607, -730, 461, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
52706, 942, 708, 782, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
52741, 1795, 866, 312, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
52776, 3513, 3531, 230, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
52810, 4891, 5422, 860, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
52845, 9226, 4360, -796, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
52880, 13642, 4846, 66, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
52914, 15214, 4117, 1070, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
52949, 9379, -1675, 3241, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
52984, 708, 7413, -3544, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
53019, 3074, 3477, -2568, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
53055, 3134, 749, -2377, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
53092, 2756, 1709, -1778, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
53129, 2989, 1196, -1303, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
53166, 2821, -1466, -600, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
