95817, -794, 3293, -1840, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
95857, -837, 3789, -1794, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
95897, -823, 3795, -1395, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
95937, -1111, 4722, -1115, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
95977, 166, 5582, -693, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
96017, -1617, 5726, -339, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
96057, -1482, 5518, -492, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
96097, -1702, 4433, -85, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
96137, -2284, 4352, 302, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
96177, -2054, 4946, 468, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
96217, -2835, 3593, 932, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
96253, -3102, 2526, 1196, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
96290, -3424, 1987, 1036, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
96327, -3484, 1620, 1066, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
96364, -2425, 155, 1515, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
96401, -1578, -1283, 461, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
96437, -816, -1822, -304, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
96474, -788, -4391, -422, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
96511, -784, -3122, -488, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
96548, -562, -3007, -282, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
96585, -289, -2339, -294, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
96622, 139, -1303, -231, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
96664, 707, -601, -16, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
96707, 1698, 330, 543, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
96749, 2597, 2864, 372, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
96792, 3278, 2985, 1035, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
96834, 5798, 4236, 661, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
96877, 8839, 3153, 357, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
96919, 16828, 3169, 844, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
96962, 13567, 663, -729, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
97004, 5635, 2295, -823, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
97047, 2742, -350, -143, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
97084, 4964, 5741, -3455, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
97121, 4628, 2318, -2289, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
97158, 2870, 2869, -2158, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
97195, 1489, 2972, -1624, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
97232, 1956, 2204, -830, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
97269, 3239, -1869, 1167, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
97306, 2137, -880, -1460, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
97343, 3767, 222, -812, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
