113531, -648, 3571, -1907, 60, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
113575, -349, 3590, -1850, 60, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
113619, -322, 3914, -1887, 60, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
113663, -542, 3554, -1511, 60, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
113702, -29, 4332, -1463, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
113741, -354, 4430, -1368, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
113780, -422, 4626, -971, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
113819, -526, 4830, -1094, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
113858, -1017, 4901, -545, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
113897, -1448, 4984, -276, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
113936, -1762, 4957, 312, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
113975, -2408, 5167, 963, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
114014, -2678, 4275, 1273, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
114053, -3236, 4268, 1258, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
114092, -3319, 4405, 1283, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
114127, -2971, 3597, 786, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
114162, -2486, 3115, 940, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
114197, -1072, 839, 503, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
114232, 69, -1347, 256, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
114267, 275, -4048, -523, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
114302, -955, -6948, -955, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
114337, -140, -3709, -116, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
114372, -103, -3247, -528, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
114407, 609, -2416, -145, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
114443, 1162, -642, 123, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
114483, 1816, 617, 508, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
114524, 1924, 3485, 441, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
114565, 4104, 3989, 1470, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
114605, 5234, 5372, 1629, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
114646, 8250, 4123, 1194, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
114687, 10672, 4155, 674, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
114728, 13275, 3057, 514, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
114768, 9778, 4824, -535, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
114809, 6523, 2616, -133, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
114850, 5565, 1624, -385, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
114891, 5631, 2518, -1273, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
114925, 4181, 2683, -811, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
114960, 3164, 1998, -344, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
114995, 2595, 1906, -615, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
115030, 2929, 1694, -780, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
115065, 3411, 1326, -747, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
115100, 3589, 793, -255, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
115135, 3641, 82, -527, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
115170, 4500, 2215, 589, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
115205, 4433, -6517, 836, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
115240, 3478, -6022, 1735, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
115278, 3439, 443, -1162, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
115317, 3962, -2557, -747, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
115355, 4081, -1581, -281, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
115394, 3825, -1081, -197, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
115433, 3862, -877, -589, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
115471, 3731, -1419, -610, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
115510, 3658, -844, -557, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
115548, 4102, -1199, -88, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
115587, 4003, -947, -635, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
115626, 3905, -984, -1008, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
115664, 3964, -987, -1337, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
115702, 3989, -932, -1365, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
115740, 4068, -1201, -1408, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
115778, 4122, -1158, -1428, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
115816, 4072, -1220, -1508, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
115855, 3848, -1404, -1539, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
115893, 3855, -1530, -1611, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
115931, 3868, -1175, -1779, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
115969, 3674, -1178, -1714, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
116007, 3700, -1135, -1748, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
116046, 3744, -822, -1889, 59, 21c18979-9254-4d54-9d6d-139174d06de4, , transisi, transisi_bersedekap_ke_ruku, , 
