103054, -730, 3926, -1010, 99, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
103094, -521, 4089, -1171, 99, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
103134, -764, 3750, -741, 99, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
103174, -703, 4132, -905, 99, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
103214, -174, 4183, -488, 99, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
103254, -828, 4089, -495, 99, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
103294, -957, 4318, -320, 99, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
103334, -1099, 4596, -265, 99, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
103374, -1345, 4808, -633, 99, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
103414, -1476, 3726, 251, 99, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
103450, -1881, 3600, 786, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
103487, -2060, 3084, 1107, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
103524, -2499, 2376, 1521, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
103560, -2662, 2542, 2192, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
103597, -2746, 2331, 2458, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
103634, -2880, 2322, 2416, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
103671, -2842, 2125, 2451, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
