179386, 14, 4093, 664, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
179422, -11, 4195, 618, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
179457, -308, 3639, 841, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
179492, 163, 4884, 781, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
179527, 208, 4099, 937, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
179562, 286, 3854, 1092, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
179598, 208, 3760, 1175, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
179639, 314, 3686, 1112, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
179680, 313, 4327, 1324, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
179721, 704, 4279, 1774, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
179762, 967, 4587, 2079, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
179804, 501, 4760, 1990, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
179845, 292, 3294, 1794, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
179886, -76, 3282, 2012, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
179927, -31, 3266, 2164, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
179968, -358, 3406, 2131, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
180010, -485, 3604, 2033, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
180051, -1249, 3097, 1756, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
180093, -1624, 3592, 1458, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
180134, -1990, 3117, 1297, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
180176, -2261, 3090, 1433, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
180218, -2467, 3084, 1586, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
180259, -2565, 2790, 1740, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
180301, -2651, 2698, 1841, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
180343, -2896, 2525, 1885, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
180384, -2836, 1956, 2106, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
180426, -3095, 1466, 2101, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
180468, -3329, 885, 2223, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
180499, -3187, 1263, 2008, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
180531, -3276, 684, 1671, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
180563, -3370, 483, 1514, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
180594, -3381, 245, 1572, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
180626, -3206, -38, 1015, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
180658, -3230, 5, 1249, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
180689, -3030, -22, 1020, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
180721, -2721, -509, 428, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
180753, -2434, 355, 1243, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
180785, -1834, 209, 1149, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
180827, -1294, 903, 1266, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
180870, -776, 1963, 1876, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
180912, -214, 1782, 1652, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
180955, 657, 2786, 2515, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
180998, 957, 4828, 2600, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
181040, 1703, 3871, 1651, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
181083, 2231, 3595, 1119, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
181125, 3280, 3603, 1029, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
181168, 3994, 3506, 486, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
181211, 5299, 3658, -82, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
181245, 5534, 4025, -583, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
181280, 4106, 4085, -751, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
181315, 3549, 2839, -1077, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
181350, 3501, 2245, -916, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
181385, 3409, 1443, -1099, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
181420, 3705, 1681, -1446, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
181455, 3472, 1347, -1366, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
