95659, -1174, 3584, -715, 95, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
95699, -1161, 3742, -550, 95, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
95739, -1166, 3996, -735, 95, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
95780, -913, 3484, -550, 95, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
95820, -1215, 3706, -377, 95, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
95861, -1331, 3345, -595, 95, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
95901, -458, 4357, 373, 96, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
95942, -103, 4447, 222, 96, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
95983, -750, 4783, 231, 96, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
96024, -663, 5331, 701, 96, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
96065, -1164, 4850, 745, 96, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
96106, -635, 3331, 1909, 96, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
96147, -1101, 4148, 2287, 96, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
96188, -1812, 5648, 2349, 96, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
96229, -2545, 5792, 2129, 96, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
96270, -2897, 4297, 2204, 96, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
96305, -3039, 2927, 2847, 96, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
96340, -3152, 2652, 2661, 96, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
96375, -2794, 1465, 2102, 96, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
96410, -1886, -73, 909, 96, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
96445, -879, -1689, -82, 96, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
96480, -420, -2506, -959, 96, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
96515, -88, -3708, -1624, 96, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
96550, 111, -3607, -1358, 96, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
