203971, -1087, 3682, -1033, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
204013, -1073, 3787, -1113, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
204056, -1141, 3598, -1176, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
204098, -1111, 3725, -1108, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
204140, -1045, 3695, -1127, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
204183, -986, 3723, -976, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
204225, -1098, 3610, -1138, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
204268, -1009, 3753, -1133, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
204303, -1024, 3604, -1096, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
204338, -1025, 3763, -1242, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
204373, -964, 3728, -1211, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
204408, -934, 3802, -1314, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
204443, -798, 3925, -1248, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
204479, -978, 4553, -936, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
204514, -44, 5031, 124, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
204549, -1387, 5273, 625, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
204584, -1400, 6192, 916, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
204619, -1235, 7284, 777, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
