509254, -713, 3833, -1284, 73, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
509286, -750, 3862, -1258, 73, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
509328, -905, 4060, -1294, 73, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
509370, -963, 4241, -1168, 73, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
509412, -822, 3926, -782, 73, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
509454, -1292, 5038, -290, 73, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
509496, -1735, 6320, 9, 73, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
509538, -1257, 6690, 1399, 73, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
509580, -850, 5192, 962, 73, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
509622, -1472, 5076, 947, 73, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
509664, -1923, 3702, 1389, 73, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
509706, -2724, 2414, 1406, 73, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
509744, -3075, 1616, 1299, 73, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
509783, -3810, 2005, 669, 73, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
509821, -3087, 666, 1683, 73, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
509860, -3622, -646, 1182, 73, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
509899, -2932, -1161, 642, 73, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
509937, -2232, -1406, -563, 73, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
509976, -1766, -2297, -776, 73, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
510014, -1221, -2752, -1121, 73, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
510053, -798, -2873, -1359, 73, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
510092, -587, -2844, -1089, 73, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
510128, -442, -2468, -1059, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
510164, -276, -2081, -922, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
510200, 191, -1276, -470, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
510236, 769, -573, 122, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
510272, 2025, -40, 972, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
510308, 2885, 2579, 1616, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
510344, 4879, 2837, 1242, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
510380, 7120, 4896, 1506, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
510416, 9960, 2904, 2020, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
510452, 16274, 2383, 2535, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
510489, 14516, 3244, 1074, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
510529, 6781, 5133, -2120, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
510569, 319, -283, -1029, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
510610, 5648, 1347, -701, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
510650, 5802, 2383, 686, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
510691, 3831, 1989, 182, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
510731, 1695, 466, 33, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
510771, 1561, 1892, -1222, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
510812, 2188, 1637, -1519, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
510852, 4105, 1173, 440, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
