86201, -1035, 3853, -1963, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
86241, -923, 3483, -1847, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
86280, -905, 3600, -1818, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
86320, -819, 3445, -1851, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
86359, -916, 3531, -1879, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
86399, -1113, 3785, -2202, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
86438, -354, 3410, -1684, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
86478, -847, 3687, -1820, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
86513, -1006, 3676, -1963, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
86549, 44, 3372, -1310, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
86585, -1098, 4558, -1271, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
86621, -1331, 5046, -1010, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
86657, -1411, 4824, -472, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
86693, -2125, 4216, -513, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
86729, -2867, 4454, -834, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
86765, -2683, 4410, -83, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
86801, -2846, 4612, 99, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
86837, -3574, 3846, 586, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
86873, -3342, 3179, 1206, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
86918, -4221, 2851, 1759, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
86964, -3709, 2415, 1594, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
87010, -2169, 940, 1069, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
