83522, -26, 4172, 24, 92, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
83559, 5, 4251, 3, 92, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
83596, 64, 4229, 83, 92, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
83634, 118, 4200, 141, 92, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
83672, 301, 4369, 117, 92, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
83710, 873, 4106, 240, 92, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
83749, 250, 4857, 216, 92, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
83787, 708, 4816, 705, 92, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
83825, -369, 5303, 1326, 92, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
83864, -93, 4715, 1681, 92, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
83902, -226, 4942, 2230, 92, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
83940, -562, 4452, 2734, 92, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
83979, -227, 4196, 2743, 92, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
84016, -991, 2928, 2313, 91, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
84053, -1712, 2731, 1567, 91, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
84091, -2584, 2463, 1161, 91, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
84128, -2918, 1525, 1265, 91, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
84165, -3131, 1410, 781, 91, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
84203, -3235, 838, 387, 91, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
84240, -3445, 79, 750, 91, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
84277, -3212, -59, 574, 91, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
84315, -3428, -897, -134, 91, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
84352, -3468, -1170, 280, 91, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
84390, -3499, -1019, 910, 91, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
84429, -3528, -1096, 927, 91, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
84469, -3554, -988, 948, 91, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
84509, -3597, -1004, 848, 91, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
84548, -3526, -944, 834, 91, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
84588, -3468, -1240, 230, 91, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
84628, -3040, -1167, -25, 91, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
84667, -2484, -1086, 243, 91, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
84707, -2259, -796, 439, 91, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
84747, -1845, -262, 581, 91, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
84787, -1503, 231, 1113, 91, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
84825, -1168, 505, 1876, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
84864, -547, 1120, 2532, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
84903, 514, 2746, 3581, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
84941, 804, 3504, 3493, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
84980, 1857, 3652, 3838, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
85019, 2400, 3919, 3295, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
85057, 2724, 2839, 2837, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
85096, 3554, 4126, 2724, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
85135, 3751, 2184, 2226, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
85174, 4376, 4209, 2064, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
85214, 4338, 1845, 2466, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
85254, 4630, 1803, 2511, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
85295, 4610, 1612, 1687, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
85335, 3415, 4524, 739, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
85376, 3588, 2615, 737, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
85416, 3530, 673, 595, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
85457, 3531, 865, 453, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
85497, 3459, 1314, 229, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
85538, 3474, 920, 408, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
85578, 3310, 826, 93, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
85619, 3462, 663, 188, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
85654, 3255, 646, -248, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
85689, 3409, 884, -42, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
85724, 3417, 453, -85, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
85759, 3598, 686, -235, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
85794, 3961, 448, -84, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
85829, 4044, 785, -563, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
85864, 4367, 303, -408, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
85899, 4253, 900, -671, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
85934, 4472, 756, -1013, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
85969, 4376, 305, -919, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
86012, 4567, 705, -1291, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
86056, 4540, 817, -1171, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
86100, 4407, 248, -1377, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
86143, 4473, 1046, -1145, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
86187, 4236, 289, -1205, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
86231, 4201, 665, -1298, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
86274, 4308, 283, -1086, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
86318, 4056, 192, -1382, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
86362, 4116, 429, -1310, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
86406, 4060, 445, -1353, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
86440, 4073, 655, -1304, 90, 940ad830-cb16-44d4-a96c-91df1f98d66a, , transisi, transisi_bersedekap_ke_ruku, , 
