335037, 58, 4135, -1140, 96, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
335076, -8, 4184, -909, 96, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
335115, 196, 4342, -1298, 96, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
335154, 221, 4535, -1232, 96, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
335193, 1348, 5475, -754, 96, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
335233, 3320, 5508, 496, 96, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
335269, 1174, 4949, -110, 96, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
335306, 1384, 3825, 342, 96, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
335342, -70, 4924, 681, 96, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
335379, -937, 6668, 178, 96, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
335415, -1295, 5194, 1153, 96, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
335452, -1190, 4498, 1796, 96, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
335488, -1314, 3555, 2215, 96, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
335525, -1513, 2933, 1234, 96, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
335561, -2081, 1849, 1651, 96, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
335598, -2683, 1059, 1249, 96, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
335635, -2792, 652, 404, 96, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
335674, -3049, -16, 485, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
335713, -3300, -647, 713, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
335752, -3238, -1039, 880, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
335791, -3188, -1375, 599, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
335830, -3027, -1611, 483, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
335869, -2835, -1797, 403, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
335908, -2555, -1889, 108, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
335947, -2220, -1750, 19, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
335986, -1839, -1596, -322, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
336025, -1388, -1496, -767, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
336063, -610, -1598, -919, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
336101, 388, -1374, -1099, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
336139, 1864, -1046, -780, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
336177, 4502, -568, -377, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
336215, 7682, 392, -1331, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
336253, 11755, 1431, -1791, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
336291, 13657, 1896, -2465, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
336329, 16398, 1497, -2222, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
336367, 13876, 3040, -1632, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
336405, 8291, 1524, -525, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
336444, 5778, 820, -910, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
336483, 5206, -259, -217, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
336522, 5052, 797, 487, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
336561, 4128, 1819, 524, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
336600, 3368, 1959, 194, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
336640, 3630, 558, 288, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
336679, 3578, 277, 484, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
336718, 3953, 115, 196, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
336757, 4298, 519, -809, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
336796, 3131, -439, -3248, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
336836, 3254, -319, -3685, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
336874, 3785, -7954, -2133, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
336913, 4130, -5110, -593, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
336952, 2274, -2108, -3384, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
336991, 2548, -1019, -2771, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
337030, 3248, -2184, -1809, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
337068, 3542, -982, -882, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
337107, 3285, -1501, -2149, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
337146, 3859, -1154, -2689, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
337185, 3848, -680, -2316, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
337224, 3961, -1133, -2578, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
337261, 4504, -593, -2546, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
337298, 3958, -677, -1549, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
337335, 4290, -54, -2232, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
337373, 3993, -60, -2815, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
337410, 3652, -204, -2124, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
337447, 3770, 46, -2589, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
337484, 3553, 47, -2417, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
337522, 3252, -28, -2331, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
337559, 3351, 28, -1970, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
337596, 3854, 1002, -2102, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
337634, 3944, 221, -2373, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
337674, 4062, 62, -2299, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
337714, 3846, 83, -2318, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
337754, 3439, 110, -2253, 95, 977a3959-2c3a-4c6b-a6f0-e83abd84592a, , transisi, transisi_bersedekap_ke_ruku, , 
