10048, -1028, 3000, -2498, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
10085, -975, 3016, -2523, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
10121, -969, 2979, -2452, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
10158, -395, 3337, -2057, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
10201, -293, 3395, -2268, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
10245, 681, 3269, -2651, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
10288, -530, 3319, -674, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
10332, 148, 4226, -1469, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
10375, -1649, 4443, -1624, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
10419, -1958, 4204, -755, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
10462, -2246, 4948, -60, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
10506, -2222, 5605, 425, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
10549, -2485, 5702, 724, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
10593, -2597, 5466, 1201, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
10634, -2714, 5736, 1625, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
10676, -2349, 6450, 1789, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
10717, -2575, 5245, 2396, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
10759, -2272, 5748, 2176, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
10800, -511, 3007, 1703, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
10842, 580, 456, 1076, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
10883, 1344, -3278, -37, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
10925, 881, -5783, -1362, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
10966, 1405, -3899, 553, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
11008, 929, -3239, -502, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
11042, 1210, -2050, -133, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
11076, 1429, -198, 94, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
11110, 1830, 1120, 76, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
11144, 2523, 3464, 1358, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
11178, 3600, 5554, 245, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
11212, 6631, 5068, 1150, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
11246, 8855, 9383, 913, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
11280, 9643, 4269, 1095, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
11314, 8541, 6446, 860, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
11348, 6054, 4855, 1774, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
11383, 3622, 6288, 995, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
11426, 2321, 4903, -2825, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
11469, 975, 2570, -2786, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
11513, 1574, 3446, -2374, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
11556, 1528, 958, -613, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
11600, 2819, 499, -318, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
11643, 3249, 273, -745, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
11686, 3789, -1148, -660, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
11730, 3651, 375, -924, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
11773, 4724, -552, -1363, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
11817, 3680, -1571, -1111, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
11847, 4080, -1342, -756, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
11877, 4200, -849, -1188, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
11907, 4052, -900, -971, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
11937, 4194, -982, -987, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
11967, 3803, -1001, -1451, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
11998, 3670, -1145, -1445, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
