164555, -884, 3816, -984, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
164596, -902, 3828, -911, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
164637, -865, 3959, -1050, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
164678, -926, 3998, -945, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
164719, -944, 4192, -977, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
164754, -845, 4125, -673, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
164790, -1035, 4236, -484, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
164826, -830, 4993, 11, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
164861, -179, 4647, 90, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
164897, -3066, 5853, 725, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
164933, -838, 5119, 709, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
164968, -1870, 5623, 266, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
165004, -1892, 5302, 849, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
165040, -2209, 4845, 1231, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
165076, -2480, 3563, 1579, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
165113, -3312, 2064, 1745, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
165150, -3128, 1666, 1273, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
165188, -2617, 1103, 1112, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
165225, -1664, -590, 636, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
165262, -1060, -1445, 139, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
165300, -891, -2937, -730, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
165337, -868, -3757, -1502, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
165374, -497, -3465, -1150, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
165412, -466, -2557, -996, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
165449, -284, -1821, -737, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
165487, 213, -983, -388, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
165525, 979, -260, -158, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
165563, 2293, 1161, 1001, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
165601, 2846, 2758, 1271, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
165640, 6402, 6673, 103, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
165678, 5295, 5948, -184, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
165716, 9572, 6037, 320, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
165755, 9898, 4336, 1762, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
165793, 7858, 3991, 1955, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
165831, 5605, 3060, 3993, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
165870, 2635, 2854, 868, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
165910, 1483, 2755, -1230, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
165951, 1424, 47, -1136, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
165991, 2212, -110, -1151, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
166032, 3278, -48, -1003, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
166072, 4745, 514, -301, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
166113, 3977, 601, -1656, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
166153, 4667, -109, -1284, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
166194, 4154, 210, -1630, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
166234, 4406, -659, -1667, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
166275, 4015, -1173, -2021, 92, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
166314, 4431, -720, -2115, 93, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
166353, 3953, -1047, -2199, 93, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
166393, 4174, -873, -1853, 93, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
166432, 4225, -410, -1688, 93, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
166471, 4044, -1280, -1519, 93, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
166511, 4235, -185, -2534, 93, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
166550, 3559, -322, -2790, 93, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
166589, 3915, -1386, -2262, 93, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
166629, 3840, -707, -2186, 93, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
166668, 3206, -588, -1763, 93, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
166708, 3332, -1251, -1880, 93, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
166744, 3470, -1569, -2087, 93, b57573d4-3189-4cfa-9793-dee5f1b98a83, , transisi, transisi_bersedekap_ke_ruku, , 
