292757, 333, 4163, -515, 82, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
292794, 303, 4049, -446, 82, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
292831, 277, 4032, -485, 82, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
292868, 295, 4046, -485, 82, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
292905, 309, 4074, -456, 82, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
292941, 327, 4078, -487, 82, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
292978, -64, 4379, -275, 82, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
293015, 31, 4025, -518, 82, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
293052, 330, 4095, -393, 82, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
293089, 291, 4084, -263, 82, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
293126, 281, 4291, -188, 82, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
293165, 522, 4463, 85, 85, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
293204, 647, 4174, 85, 85, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
293244, 1164, 4349, 183, 85, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
293283, 1109, 5115, 557, 85, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
293323, 1395, 5005, 1150, 85, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
293362, 1560, 6292, 1056, 85, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
293401, 1384, 6502, 2184, 85, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
293441, 1016, 5475, 1728, 85, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
293480, -194, 3047, 1523, 85, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
293520, -1142, 713, 1128, 85, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
293560, -2235, -143, 530, 85, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
293601, -2273, -302, 606, 85, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
293641, -2363, -830, 549, 85, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
293682, -1675, -646, 354, 85, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
293723, -935, -387, -189, 85, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
293763, 48, -78, -475, 85, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
293804, 1561, 446, -782, 85, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
293844, 3828, 2319, -1102, 85, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
293885, 5855, 2250, -797, 85, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
293926, 8532, 262, -1105, 85, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
293962, 11881, 163, -1012, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
293998, 11329, 1631, -1016, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
294034, 7757, 2559, -2150, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
294071, 5118, 1669, -1135, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
294107, 5441, 1219, -1534, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
294143, 5267, 2277, -2265, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
294179, 4264, 2543, -1400, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
294216, 3325, 1918, -751, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
294252, 3209, 1904, -1051, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
294288, 3645, 2572, -1128, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
294325, 3882, 2907, -1001, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
294364, 4158, 2545, -971, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
294403, 4534, 1864, -648, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
294442, 4692, 1334, -1295, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
294481, 4628, 695, -1824, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
294521, 5449, -2164, 130, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
294560, 3686, -7759, 3706, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
294599, 4984, 1546, -1980, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
294638, 3261, 2895, -3086, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
294677, 2959, -400, -2368, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
294717, 2536, -1860, -1743, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
294755, 2716, -1450, -666, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
294793, 2171, -376, -1237, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
294831, 2514, 838, -1065, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
294869, 2518, 724, -1548, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
294907, 3256, 154, -2391, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
294945, 3173, -687, -1937, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
294983, 3062, -793, -3523, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
295021, 3780, -2289, -3143, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
295059, 4030, -1361, -3380, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
295097, 4395, -2053, -2496, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
295135, 4032, -1697, -1748, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
295172, 4059, -2279, -2034, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
295210, 3617, -936, -2329, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
295247, 4168, -719, -2835, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
295285, 3914, -1002, -2378, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
295322, 3583, -824, -1984, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
295360, 3530, -617, -1825, 89, c3c98c7c-b7b5-4236-8932-417fc813d70a, , transisi, transisi_bersedekap_ke_ruku, , 
