67182, -201, 3957, -879, 75, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
67212, -211, 3987, -866, 75, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
67243, -211, 4025, -848, 75, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
67274, -199, 4049, -774, 75, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
67305, -148, 4300, -733, 75, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
67336, -89, 4541, -717, 75, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
67367, -127, 5230, -678, 75, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
67398, -17, 4308, -161, 75, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
67429, 914, 4336, 597, 75, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
67460, 606, 4708, 1264, 75, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
67491, 702, 4863, 1698, 75, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
67522, 441, 5937, 1515, 75, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
67562, 99, 5457, 1793, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
67602, -243, 4416, 2313, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
67643, -813, 5295, 2266, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
67683, -964, 2436, 3567, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
67724, -1434, 3696, 2703, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
67764, -1797, 2141, 2423, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
67804, -1782, 2598, 2179, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
67845, -2144, 651, 1456, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
67885, -2106, 221, 743, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
67926, -2322, -791, 800, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
67965, -2475, -1137, -290, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
68005, -2727, -2447, -655, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
68045, -2983, -3300, -620, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
68084, -2846, -3453, -357, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
68124, -2309, -3323, -803, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
68164, -1476, -2247, -1076, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
68203, -556, -1967, -708, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
68243, 521, -1443, -1076, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
68283, 2066, -853, -992, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
68323, 3655, 1416, -743, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
68362, 5373, 1168, -908, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
68401, 9740, 4681, -1317, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
68440, 12465, 790, -2486, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
68479, 17973, 1900, -1784, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
68518, 13186, 4741, -354, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
68557, 5747, 5945, -642, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
68596, 6295, 1429, -1299, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
68635, 5581, 1449, -1520, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
68674, 5066, 3364, -620, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
68713, 3412, 3111, -626, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
68753, 3016, 2950, -632, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
68792, 3328, 2724, -679, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
68831, 3704, 2220, -464, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
68870, 3539, 1014, -466, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
68909, 2959, -164, -147, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
68948, 2156, -475, -385, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
68987, 2533, 5286, -1805, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
69026, 3486, -6201, 697, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
69065, 2881, -915, -539, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
69104, 2377, 518, -3739, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
