82702, 690, 4094, 581, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
82741, 660, 4157, 502, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
82780, 1031, 4117, 310, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
82820, 1836, 5532, 515, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
82856, 852, 4307, 731, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
82893, 2112, 4064, 1681, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
82930, 2112, 4078, 2134, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
82967, 1499, 2695, 1818, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
83004, 515, 4431, 992, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
83040, -506, 5262, 1142, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
83077, -1570, 5817, 1216, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
83114, -1095, 5930, 1466, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
83151, -809, 5948, 1565, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
83188, -1171, 3702, 1487, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
83225, -1566, 2936, 1225, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
83264, -1942, 1427, 731, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
83303, -2437, 536, 552, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
83342, -2929, -335, 583, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
83382, -3046, -819, 556, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
83421, -3046, -1282, 621, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
83460, -2952, -1677, 650, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
83500, -2839, -1639, 747, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
83539, -2728, -1575, 805, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
83578, -2353, -1831, 663, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
83618, -1985, -1491, 537, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
83654, -1763, -1510, -173, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
83691, -1315, -1603, -593, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
83727, -691, -1494, -643, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
83764, 201, -889, -770, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
83800, 1815, -1289, -949, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
83837, 4327, -545, -664, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
83873, 7141, 655, 451, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
83910, 8873, 3859, -3518, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
83946, 14380, 2298, -1743, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
83983, 13637, 4739, -23, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
84020, 9157, 4331, -705, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
84060, 5205, 3730, -945, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
84100, 4205, 3077, 24, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
84141, 3794, 2951, -680, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
84181, 3421, 2164, -1745, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
84222, 3486, 3913, -2906, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
84262, 3351, -184, -1942, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
84302, 3572, -1399, -1808, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
84343, 3282, -1927, -1202, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
84383, 3063, -1262, -1811, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
84424, 2975, -810, -1590, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
84463, 2196, -1442, -2174, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
84503, 3049, -650, -973, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
84542, 3335, -901, -948, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
84582, 4133, -944, -865, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
84622, 3814, -1120, -1439, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
84661, 4275, -1080, -2077, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
84701, 4465, -1390, -2102, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
84740, 4495, -909, -2019, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
84780, 4328, -951, -1866, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
84820, 4001, -985, -2545, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
84856, 3954, -271, -2366, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
84892, 3773, -381, -2199, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
84929, 3748, -590, -2808, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
84965, 3646, -1107, -2060, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
85002, 3763, -685, -2184, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
85038, 3604, -484, -2216, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
85075, 3401, -197, -2175, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
85111, 3129, -389, -2298, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
85148, 3528, -453, -2597, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
85184, 3657, -514, -2228, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
85221, 3728, -172, -2065, 92, daa411be-7684-4f02-a235-294d6aca9621, , transisi, transisi_bersedekap_ke_ruku, , 
