67865, -692, 3494, -1673, 58, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
67910, -730, 3693, -1465, 58, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
67955, -562, 3154, -1346, 58, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
68001, -702, 3174, -1307, 58, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
68034, -701, 3935, -1801, 58, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
68068, -691, 3653, -1741, 58, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
68102, -575, 3760, -1909, 58, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
68136, -645, 4066, -1773, 58, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
68170, 604, 3748, -1443, 58, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
68204, -698, 4007, -1495, 58, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
68238, -250, 3741, -1257, 58, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
68272, -292, 3769, -1021, 58, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
68306, -773, 3856, -863, 58, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
68340, -769, 5021, -1595, 58, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
68374, -1004, 4590, -1314, 58, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
68411, -980, 5085, -1369, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
68449, -1300, 5017, -729, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
68487, -1421, 4964, -204, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
68525, -1410, 4765, 340, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
68563, -2078, 4457, 431, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
68601, -2256, 4622, 365, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
68639, -2261, 3440, 1628, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
68677, -2930, 4219, 1767, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
68715, -2946, 3502, 1911, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
68753, -3044, 3246, 2314, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
68793, -2621, 2413, 2056, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
68833, -2270, 1475, 1539, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
68873, -1361, -295, 1104, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
68913, -502, -1533, 202, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
68953, -103, -3642, -599, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
68993, 93, -5290, -956, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
69033, -78, -4512, -952, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
69073, 64, -3635, -514, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
69113, 294, -2472, -476, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
69154, 767, -960, 9, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
69190, 1647, 404, 488, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
