258070, -1165, 3509, -1846, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
258110, -1283, 3563, -1750, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
258149, -1331, 3663, -1628, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
258188, -1461, 3830, -1402, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
258227, -1534, 4290, -1246, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
258267, -1553, 4416, -1117, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
258306, 488, 4246, -842, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
258345, -2540, 3718, -631, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
258385, -2923, 5186, -217, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
258422, -1407, 5153, 191, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
258460, 6, 4442, 1089, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
258498, -3808, 3636, 855, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
258536, -1541, 4692, 213, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
258574, -3049, 3194, 581, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
258612, -3364, 2043, 604, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
258650, -3618, 1083, 960, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
258688, -3688, 833, 1464, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
258726, -3371, 186, 648, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
258764, -2903, -1457, 715, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
258801, -2214, -1555, 492, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
258838, -1607, -2011, -305, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
258875, -974, -3175, -930, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
258913, -862, -3459, -1054, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
258950, -375, -3569, -852, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
258987, -328, -3067, -575, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
259024, -107, -2529, -418, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
259062, 43, -1640, -652, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
259099, 592, -886, -519, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
