228959, -76, 3896, -1216, 104, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
228995, 73, 3984, -1164, 104, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
229032, -73, 3947, -1164, 104, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
229068, -59, 4106, -1188, 104, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
229105, 11, 4257, -972, 104, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
229142, 114, 4363, -981, 102, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
229180, 3, 4195, -1297, 102, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
229218, 167, 4349, -797, 102, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
229256, 121, 5705, -918, 102, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
229294, 618, 5549, -189, 102, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
229331, 530, 4763, 739, 102, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
229369, -125, 4094, 1256, 102, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
229407, 222, 4669, 1332, 102, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
229445, -201, 4870, 1087, 102, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
229483, -585, 3872, 953, 102, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
229521, -1128, 2056, 1158, 102, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
229564, -1591, 729, 1264, 102, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
229608, -1911, 261, 1222, 102, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
