270439, 17, 4026, -1317, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
270473, 112, 4309, -1638, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
270507, 122, 3978, -1223, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
270542, 486, 4612, -1399, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
270576, 324, 5545, -877, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
270610, 911, 3917, -762, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
270645, 1031, 4178, 237, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
270679, 850, 3932, 458, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
270713, 947, 3472, 600, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
270748, 58, 3971, 691, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
270782, -158, 4911, 464, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
270817, -1116, 5166, 304, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
270859, -1357, 5901, 735, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
270902, -1380, 5173, 1771, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
270945, -1211, 3573, 2719, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
270988, -1215, 3206, 2339, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
271031, -1752, 2109, 1969, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
271073, -2109, 1614, 1568, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
271116, -2587, 987, 1109, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
271159, -3040, 372, 1155, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
271202, -3235, -166, 1013, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
271245, -3152, -730, 621, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
271278, -3225, -1353, 587, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
271311, -3137, -1707, 548, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
271344, -2903, -1895, 561, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
271377, -2837, -1694, 357, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
271410, -2495, -1662, 360, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
271444, -2161, -1786, 153, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
271477, -1812, -1773, -532, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
271510, -1319, -1904, -891, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
271543, -610, -1935, -846, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
271576, 710, -1492, -998, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
271610, 2488, -1416, -1163, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
271650, 5186, -523, -1485, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
271691, 9100, 2657, -856, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
271732, 10853, 1860, -2442, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
271772, 15308, 2094, -3006, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
271813, 16697, 1967, -1016, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
271854, 11537, 3549, -1020, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
271894, 6507, 2364, -1404, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
271935, 5302, -657, -1003, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
271976, 5232, -697, 186, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
272017, 5367, 501, 1603, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
272058, 4120, 1213, 1162, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
272100, 3919, 498, 845, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
272142, 4187, 39, 716, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
272183, 4141, -120, 368, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
272225, 3985, 57, -1099, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
