392802, -910, 3940, -655, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
392835, -920, 3984, -627, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
392878, -965, 3915, -618, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
392921, -895, 3948, -605, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
392964, -932, 3969, -513, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
393007, -1110, 4072, -463, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
393050, -1045, 3948, -276, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
393093, -1135, 4104, -90, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
393136, -1387, 4126, -223, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
393179, -576, 4537, 219, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
393222, -1534, 4198, 679, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
393265, -1325, 4770, 15, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
393302, -1411, 4182, 166, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
393339, -1981, 3959, 621, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
393376, -2059, 4231, 723, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
393413, -2328, 4019, 701, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
393450, -2763, 3739, 889, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
