38281, -1137, 3572, -1342, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
38315, -1091, 3536, -1196, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
38350, -1092, 3557, -1282, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
38384, -1112, 3819, -1391, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
38419, -732, 3286, -839, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
38453, -757, 2854, -834, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
38488, -1547, 5440, -2344, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
38526, -318, 3347, -1315, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
38565, -1283, 3959, -1527, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
38603, -1082, 3902, -1446, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
38642, -1395, 3871, -1083, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
38681, -1490, 4503, -954, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
38719, -1675, 4286, -816, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
38758, -2061, 5119, -1121, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
38796, -2285, 4942, -633, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
38835, -2700, 4450, 204, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
38874, -3067, 4690, 564, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
38911, -3290, 3513, 1131, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
38949, -3808, 3143, 1823, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
38987, -3938, 2237, 1844, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
39025, -3443, 1590, 1290, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
39063, -2279, 355, 842, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
39101, -927, -186, 338, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
39139, -120, -2193, -610, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
39177, 126, -3234, -721, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
39215, 246, -3450, -651, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
39253, 347, -3016, -318, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
39291, 320, -2036, -233, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
39330, 279, -862, -87, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
39369, 769, -169, 139, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
39408, 1956, 685, 413, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
39448, 3014, 2570, 17, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
39487, 4621, 5585, 947, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
39526, 7056, 5207, 1548, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
39566, 12813, 8846, 2389, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
39605, 11186, 6093, 1662, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
39644, 6002, 4047, 1472, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
39684, 4361, 2769, 3997, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
39722, 2167, 5072, 1334, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
39761, 609, 3855, -598, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
39800, 958, 2204, -649, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
39839, 1646, 452, -425, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
39878, 3477, 990, -389, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
39917, 4184, 466, 15, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
39956, 4004, 822, -496, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
39995, 4452, 600, -407, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
40034, 4672, -985, -312, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
40073, 4013, -176, -992, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
40112, 4365, -328, -1022, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
40151, 3856, -419, -914, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
40190, 4455, -487, -1139, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
40229, 3831, -3, -1505, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
40268, 4004, -531, -1380, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
40307, 4312, -154, -1553, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
40346, 3757, -148, -1552, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
40385, 4046, -424, -1318, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
40424, 4137, -300, -1742, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
40463, 3886, -758, -1671, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
40502, 3783, -141, -1860, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
40543, 3830, 301, -2162, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
40585, 3796, -424, -2242, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
40626, 4089, 503, -2667, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
40668, 3509, -193, -2627, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
40709, 3586, 1342, -2192, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
40751, 4176, 1342, -2582, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
40792, 3934, 559, -2178, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
40834, 3402, 883, -2106, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
40875, 3144, 742, -2262, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
40917, 2998, 310, -2195, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
40955, 3104, 271, -2248, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
40994, 3333, 169, -2597, 66, fb017f3a-ba51-456e-9e15-164e25d3e3c2, , transisi, transisi_bersedekap_ke_ruku, , 
