208074, 2136, 2849, 2150, 102, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
208113, 2121, 2804, 2183, 102, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
208153, 2134, 2801, 2209, 102, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
208192, 2067, 2887, 2237, 102, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
208232, 1967, 2868, 2267, 102, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
208271, 1945, 2906, 2425, 102, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
208311, 2002, 2736, 2242, 102, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
208350, 2013, 2777, 2372, 102, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
208390, 1766, 2301, 2979, 102, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
208430, 1838, 2638, 2873, 102, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
208468, 1913, 2305, 2800, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
208506, 2107, 2278, 2596, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
208544, 2093, 2206, 2878, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
208582, 1900, 2458, 3130, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
208620, 1750, 2040, 2593, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
208658, 1932, 2967, 2252, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
208697, 1008, 1319, 1463, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
208735, 1151, 1618, 947, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
208773, 1654, 564, 2109, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
208811, 2785, 1167, 3122, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
208849, 3454, 1191, 2303, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
208887, 4725, 1464, 2633, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
208926, 4827, 805, 968, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
208967, 4956, 847, -657, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
209008, 5718, -31, 393, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
209049, 6804, 408, 2597, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
209091, 3853, 759, 1483, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
209132, 3172, 768, 533, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
209173, 4099, 889, 909, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
209215, 3973, 363, 667, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
209256, 4111, 726, 223, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
209297, 4243, 766, -179, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
209339, 4143, 355, -75, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
209380, 4223, 398, -170, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
209421, 4250, 345, -304, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
209463, 4122, 395, -363, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
209497, 4120, 234, -418, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
209531, 4111, 410, -515, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
209566, 4112, 392, -576, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
209600, 4023, 410, -683, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
209635, 4128, 326, -694, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
209669, 4066, 202, -754, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
209704, 4140, 100, -620, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
209738, 4099, 298, -784, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
209773, 4069, 51, -603, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
209807, 4084, 111, -682, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
