179582, 2707, 949, 3056, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
179619, 2794, 969, 2992, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
179656, 2497, 920, 3225, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
179693, 2542, 1236, 2941, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
179733, 2792, 1062, 2776, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
179774, 2949, 1031, 2775, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
179815, 2997, 896, 2813, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
179856, 2906, 817, 2856, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
179897, 2848, 836, 2951, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
179938, 2976, 926, 2846, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
179979, 2881, 985, 2874, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
180020, 2970, 1048, 2856, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
180061, 2858, 988, 2846, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
180102, 2873, 778, 3057, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
180140, 2980, 1156, 2873, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
180178, 2758, 1324, 2531, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
180216, 3004, 1229, 2470, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
180255, 3057, 1234, 2536, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
180293, 3029, 1141, 2533, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
180331, 2959, 1314, 2494, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
180369, 3024, 1167, 2533, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
180408, 3159, 798, 2375, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
180446, 3146, 1042, 2428, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
180484, 3127, 982, 2504, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
180523, 3059, 720, 2500, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
180562, 3139, 1039, 2346, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
180601, 3159, 554, 2274, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
180640, 2970, 1047, 2156, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
180680, 2741, 367, 1869, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
180719, 2924, 687, 2674, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
180758, 2620, 143, 1893, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
180798, 1867, 50, 2721, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
180837, 2859, 254, 2213, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
180876, 3459, 319, 2042, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
180916, 3795, 365, 2494, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
180954, 4014, 142, 1899, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
180993, 3724, 272, 1158, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
181032, 5910, 2621, 2809, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
181071, 4670, 892, 2584, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
181110, 2403, 1657, 2674, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
181148, 3475, 926, 2258, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
181187, 3910, 344, 2021, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
181226, 3474, 1323, 1863, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
181265, 3529, 1108, 2121, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
181304, 3537, 992, 1892, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
181340, 3599, 874, 1693, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
181377, 3652, 960, 1657, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
181414, 3770, 850, 1637, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
181450, 3830, 1117, 1296, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
181487, 3956, 866, 1172, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
181524, 3964, 687, 1099, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
181561, 3981, 757, 938, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
181597, 3993, 746, 868, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
