183225, 2478, 1728, 2881, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
183262, 2465, 1749, 2945, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
183300, 2375, 1862, 3190, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
183337, 2416, 1880, 2702, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
183375, 2526, 1728, 2707, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
183412, 2520, 1717, 2780, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
183450, 2494, 1600, 2929, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
183487, 2496, 1509, 2941, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
183525, 2465, 1441, 2822, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
183562, 2502, 1494, 2922, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
183600, 2474, 1593, 3004, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
183642, 2419, 1563, 3045, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
183685, 2377, 1316, 3104, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
183728, 2267, 1431, 3138, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
183770, 2293, 1099, 3369, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
183813, 2210, 1433, 3135, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
183856, 2165, 1520, 3051, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
183898, 2055, 2019, 2689, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
183941, 2059, 1562, 2918, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
183984, 2000, 1736, 2931, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
184027, 2018, 1510, 3053, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
184063, 1914, 1084, 3212, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
184099, 2013, 1052, 3235, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
184135, 1892, 1224, 3163, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
184171, 1871, 1211, 3104, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
184207, 1804, 1399, 3071, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
184243, 1790, 1297, 2651, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
184279, 1795, 1644, 2751, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
184315, 1851, 1525, 2823, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
184351, 2075, 1724, 2667, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
184387, 3202, 1466, 3098, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
184427, 3924, 2141, 3759, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
184468, 3205, 1900, 3360, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
184509, 3861, 2062, 3569, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
184550, 3262, 3528, 3172, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
184591, 1650, 1168, 2299, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
184631, 2097, 2391, 2413, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
184672, 1844, 2825, 2552, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
184713, 1882, 2528, 2573, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
