219747, 1104, 2016, 3464, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
219786, 1088, 1977, 3411, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
219826, 1130, 2030, 3422, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
219865, 1096, 1950, 3474, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
219905, 1096, 1849, 3481, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
219944, 1044, 1807, 3484, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
219983, 1015, 1776, 3517, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
220023, 958, 1851, 3492, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
220062, 972, 1912, 3456, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
220102, 901, 1924, 3367, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
220142, 847, 1873, 3342, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
220182, 612, 1373, 3271, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
220222, 508, 847, 2371, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
220262, 2010, 1857, 2431, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
220303, 1822, 1098, 3989, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
220343, 1193, 2703, 3705, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
220383, 2261, 2420, 1875, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
220423, 1992, 1749, 2717, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
220463, 3879, 3512, 3764, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
220504, 4541, 2698, 3348, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
220539, 4128, 1910, 3178, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
220574, 3739, 1347, 3746, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
