147224, 2457, 1252, 2851, 82, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
147266, 2616, 1211, 3037, 82, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
147308, 2260, 1339, 3275, 82, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
147345, 2481, 1218, 3021, 83, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
147383, 2449, 1202, 3036, 83, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
147421, 2470, 1343, 3043, 83, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
147459, 2434, 1260, 2990, 83, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
147497, 2551, 1289, 3093, 83, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
147534, 2402, 1171, 3319, 83, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
147572, 2333, 1007, 3384, 83, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
147610, 2367, 1339, 3051, 83, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
147648, 2263, 908, 2784, 83, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
147686, 2210, 413, 2945, 83, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
147722, 2098, 140, 2906, 83, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
147759, 1802, 331, 2608, 83, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
147795, 1823, 491, 2876, 83, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
147832, 1929, 442, 3276, 83, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
147869, 2350, 576, 3322, 83, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
147905, 2476, 721, 3045, 83, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
147942, 2355, 848, 2593, 83, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
147979, 2758, 1180, 2857, 83, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
148015, 3084, 1092, 2954, 83, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
148052, 3792, 1411, 3294, 83, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
148089, 3129, 1449, 2796, 83, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
148130, 2485, 1020, 2434, 83, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
148172, 3881, 2527, 2688, 83, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
148214, 2192, 44, 3116, 83, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
148256, 2164, 1244, 3546, 83, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
148298, 1509, 2367, 3305, 83, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
148340, 2100, 1179, 3568, 83, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
148382, 2267, 1613, 3157, 83, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
148424, 2032, 1778, 3228, 83, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
148466, 2047, 1653, 3301, 83, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
148508, 2076, 1751, 3238, 83, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
148542, 2074, 1632, 3203, 82, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
148576, 2176, 1735, 3170, 82, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
148611, 2261, 1658, 3112, 82, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
148645, 2274, 1621, 3122, 82, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
148679, 2437, 1469, 3031, 82, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
148714, 2410, 1638, 3066, 82, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
148748, 2406, 1689, 3014, 82, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
148782, 2552, 1503, 2958, 82, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
148817, 2487, 1552, 2940, 82, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
148851, 2638, 1459, 2897, 82, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
148886, 2556, 1539, 2900, 82, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
148926, 2625, 1500, 2887, 82, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
148966, 2665, 1449, 2856, 82, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
149006, 2637, 1512, 2834, 82, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
149046, 2578, 1535, 2863, 82, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
149087, 2658, 1520, 2829, 82, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
149127, 2668, 1543, 2820, 82, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
149167, 2721, 1482, 2798, 82, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
149207, 2736, 1457, 2776, 82, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
149247, 2716, 1509, 2751, 82, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
149288, 2749, 1397, 2767, 82, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
149327, 2749, 1358, 2794, 82, 2e2d16c5-22ac-473d-bd6c-ca57ff3a490b, , transisi, transisi_duduk_ke_sujud, , 
