119048, 1729, 2855, 2537, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
119085, 1630, 2930, 2483, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
119122, 1729, 2927, 2495, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
119159, 1699, 2562, 2612, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
119196, 1581, 2748, 2755, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
119233, 1565, 2777, 2667, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
119270, 1585, 2665, 2613, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
119307, 1686, 2676, 2543, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
119344, 1770, 2702, 2529, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
119381, 1854, 2708, 2457, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
119419, 1862, 2657, 2529, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
119458, 1664, 2412, 2754, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
119497, 1349, 2467, 2818, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
119536, 1423, 3059, 2598, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
119575, 1517, 3477, 2180, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
119614, 843, 2119, 2680, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
119653, -167, 1222, 1104, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
119692, 214, 899, 247, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
119731, 3097, 1631, 3839, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
119770, 3819, 2200, 2497, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
119809, 4179, 2639, 2097, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
119848, 4720, 2410, 2103, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
119887, 4954, 3417, 2205, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
119927, 6291, 2279, 1413, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
119966, 4516, 2326, 883, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
120006, 1285, 1624, 2761, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
120045, 2571, 2830, 2155, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
120085, 2930, 1746, 2279, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
120125, 2516, 2696, 2211, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
120164, 2631, 2287, 2187, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
120204, 2480, 2590, 1839, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
120243, 2883, 2533, 2101, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
120283, 2631, 2298, 2183, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
120323, 2565, 2459, 1852, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
120362, 2799, 2296, 2146, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
120402, 2637, 2569, 1964, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
120442, 2854, 2455, 2038, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
120480, 2784, 2506, 1799, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
120519, 3006, 2201, 1777, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
120557, 2880, 2543, 1613, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
120596, 3107, 2324, 1553, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
120634, 3125, 2180, 1510, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
120673, 3080, 2178, 1423, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
120711, 3092, 2278, 1493, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
120750, 3013, 2425, 1478, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
120788, 3010, 2318, 1452, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
120827, 3162, 2255, 1366, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
120865, 3198, 2313, 1383, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
120904, 3219, 2288, 1387, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
