135392, 2141, 2118, 2779, 89, 3b3f6af3-95a2-48f6-a0be-c23e73b3f7e3, , transisi, transisi_duduk_ke_sujud, , 
135429, 1989, 1971, 2968, 89, 3b3f6af3-95a2-48f6-a0be-c23e73b3f7e3, , transisi, transisi_duduk_ke_sujud, , 
135466, 1940, 2124, 2900, 89, 3b3f6af3-95a2-48f6-a0be-c23e73b3f7e3, , transisi, transisi_duduk_ke_sujud, , 
135503, 1413, 2112, 3092, 89, 3b3f6af3-95a2-48f6-a0be-c23e73b3f7e3, , transisi, transisi_duduk_ke_sujud, , 
135540, 1613, 2523, 2968, 89, 3b3f6af3-95a2-48f6-a0be-c23e73b3f7e3, , transisi, transisi_duduk_ke_sujud, , 
135577, 1425, 2438, 3133, 89, 3b3f6af3-95a2-48f6-a0be-c23e73b3f7e3, , transisi, transisi_duduk_ke_sujud, , 
135614, 1496, 2137, 3328, 89, 3b3f6af3-95a2-48f6-a0be-c23e73b3f7e3, , transisi, transisi_duduk_ke_sujud, , 
135651, 505, 2856, 2433, 89, 3b3f6af3-95a2-48f6-a0be-c23e73b3f7e3, , transisi, transisi_duduk_ke_sujud, , 
135688, 1533, 2120, 3127, 89, 3b3f6af3-95a2-48f6-a0be-c23e73b3f7e3, , transisi, transisi_duduk_ke_sujud, , 
135725, 1381, 1670, 2696, 89, 3b3f6af3-95a2-48f6-a0be-c23e73b3f7e3, , transisi, transisi_duduk_ke_sujud, , 
135762, 621, 1723, 1409, 89, 3b3f6af3-95a2-48f6-a0be-c23e73b3f7e3, , transisi, transisi_duduk_ke_sujud, , 
135799, 219, 1863, 461, 89, 3b3f6af3-95a2-48f6-a0be-c23e73b3f7e3, , transisi, transisi_duduk_ke_sujud, , 
135840, 6918, 3429, 2761, 89, 3b3f6af3-95a2-48f6-a0be-c23e73b3f7e3, , transisi, transisi_duduk_ke_sujud, , 
135882, -385, -2412, -2985, 89, 3b3f6af3-95a2-48f6-a0be-c23e73b3f7e3, , transisi, transisi_duduk_ke_sujud, , 
135924, 7994, 378, 6619, 89, 3b3f6af3-95a2-48f6-a0be-c23e73b3f7e3, , transisi, transisi_duduk_ke_sujud, , 
135966, 4756, 4770, -896, 89, 3b3f6af3-95a2-48f6-a0be-c23e73b3f7e3, , transisi, transisi_duduk_ke_sujud, , 
136008, 1618, 998, 4229, 89, 3b3f6af3-95a2-48f6-a0be-c23e73b3f7e3, , transisi, transisi_duduk_ke_sujud, , 
136050, 6464, 589, 4119, 89, 3b3f6af3-95a2-48f6-a0be-c23e73b3f7e3, , transisi, transisi_duduk_ke_sujud, , 
136092, 3639, 1057, 2096, 89, 3b3f6af3-95a2-48f6-a0be-c23e73b3f7e3, , transisi, transisi_duduk_ke_sujud, , 
136134, 4079, 1889, 2149, 89, 3b3f6af3-95a2-48f6-a0be-c23e73b3f7e3, , transisi, transisi_duduk_ke_sujud, , 
136176, 3595, 1329, 2109, 89, 3b3f6af3-95a2-48f6-a0be-c23e73b3f7e3, , transisi, transisi_duduk_ke_sujud, , 
136218, 3259, 1744, 2386, 89, 3b3f6af3-95a2-48f6-a0be-c23e73b3f7e3, , transisi, transisi_duduk_ke_sujud, , 
136255, 1895, 1706, 2985, 89, 3b3f6af3-95a2-48f6-a0be-c23e73b3f7e3, , transisi, transisi_duduk_ke_sujud, , 
136292, 2145, 974, 3101, 89, 3b3f6af3-95a2-48f6-a0be-c23e73b3f7e3, , transisi, transisi_duduk_ke_sujud, , 
136330, 2540, 1266, 3207, 89, 3b3f6af3-95a2-48f6-a0be-c23e73b3f7e3, , transisi, transisi_duduk_ke_sujud, , 
136367, 2540, 1551, 2750, 89, 3b3f6af3-95a2-48f6-a0be-c23e73b3f7e3, , transisi, transisi_duduk_ke_sujud, , 
136405, 3017, 1672, 2679, 89, 3b3f6af3-95a2-48f6-a0be-c23e73b3f7e3, , transisi, transisi_duduk_ke_sujud, , 
136442, 2906, 1499, 2669, 89, 3b3f6af3-95a2-48f6-a0be-c23e73b3f7e3, , transisi, transisi_duduk_ke_sujud, , 
136479, 2736, 1692, 2592, 89, 3b3f6af3-95a2-48f6-a0be-c23e73b3f7e3, , transisi, transisi_duduk_ke_sujud, , 
