159736, 1518, 1007, 3604, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
159774, 1488, 1123, 3618, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
159812, 1560, 1056, 3669, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
159850, 1630, 1044, 3543, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
159888, 1696, 1128, 3468, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
159926, 1680, 1048, 3569, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
159964, 1742, 973, 3665, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
160002, 1706, 880, 3416, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
160041, 1887, 929, 3377, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
160080, 1931, 888, 3386, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
160119, 1949, 922, 3260, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
160158, 2006, 897, 3225, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
160197, 2229, 810, 3455, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
160237, 2262, 820, 2840, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
160276, 2166, 736, 2875, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
160315, 2440, 331, 3304, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
160354, 2326, 57, 3557, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
160393, 1884, 99, 3592, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
160433, 2520, 572, 3436, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
160473, 2300, 326, 3209, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
160513, 2068, 479, 3383, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
160554, 2304, 188, 3236, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
160594, 2546, 565, 3261, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
160635, 2583, 279, 2880, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
160675, 2847, 742, 3138, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
160715, 3149, 278, 3145, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
160756, 2804, 990, 2957, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
160796, 3698, 1174, 5022, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
160837, 524, -563, 2528, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
160873, 2577, 533, 3549, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
160910, 2266, 636, 3540, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
160946, 2276, 751, 3553, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
160983, 2207, 900, 3486, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
161019, 2267, 793, 3440, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
161056, 2132, 824, 3401, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
161092, 2238, 842, 3432, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
161129, 2269, 852, 3348, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
161165, 2209, 850, 3431, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
161202, 2333, 767, 3345, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
161239, 2361, 824, 3337, 94, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
161281, 2396, 754, 3286, 95, 4d0468f0-cb36-4748-a481-91ff848b7185, , transisi, transisi_duduk_ke_sujud, , 
