97404, 565, 1977, 3366, 78, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
97444, 1046, 1673, 3226, 78, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
97484, 804, 1821, 3126, 78, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
97522, 413, 1681, 3134, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
97561, 447, 1024, 2772, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
97599, 2265, 2930, 944, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
97638, 1721, 1848, 3774, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
97676, 2945, 5426, 3270, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
97715, 3475, 2739, 2498, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
97753, 2612, 2457, 2580, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
97792, 2644, 2519, 2725, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
97830, 4543, 3569, 3093, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
97869, 3029, 1296, 2379, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
97909, 3863, 4814, 6006, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
97949, 1208, -187, 2098, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
97990, 1734, 2341, 2483, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
98030, 2190, 1967, 3007, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
98070, 2427, 2315, 2750, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
98111, 2245, 2172, 2795, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
98151, 2407, 2156, 2822, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
98191, 2280, 2133, 2735, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
98232, 2276, 2241, 2649, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
98272, 2415, 2040, 2764, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
98313, 2431, 2117, 2618, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
98350, 2375, 2300, 2584, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
98388, 2457, 2148, 2583, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
98425, 2491, 2071, 2529, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
98463, 2527, 2105, 2499, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
98500, 2523, 2133, 2445, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
98538, 2584, 2088, 2488, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
98575, 2622, 2087, 2396, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
98613, 2648, 2129, 2414, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
