260001, 2424, 2484, 2147, 99, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
260048, 2435, 2685, 2089, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
260096, 2411, 2522, 2106, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
260144, 2509, 2551, 2142, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
260192, 2540, 2357, 2142, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
260240, 2604, 2465, 2077, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
260288, 2673, 2578, 2004, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
260336, 2688, 2515, 1913, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
260384, 2649, 2506, 1986, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
260432, 2707, 2444, 1937, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
260480, 2536, 2244, 2026, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
260511, 2677, 2215, 2262, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
260543, 2508, 2218, 2255, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
260575, 2497, 2351, 2074, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
260607, 2654, 2356, 2484, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
260639, 1897, 2222, 1723, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
260671, 2840, 2850, 1903, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
260703, 2270, 2767, 1123, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
260735, 2336, 2481, 917, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
260767, 2537, 2349, 850, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
260799, 2673, 2828, 824, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
260831, 3885, 2936, 998, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
260870, 3183, 3042, 1032, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
260909, 1720, 2918, 820, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
260948, 2544, 1811, 1974, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
260988, 2833, 2435, 1183, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
261027, 2524, 3062, 991, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
261066, 3024, 3434, 1560, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
261106, 2705, 2773, 2299, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
261145, 2775, 2510, 2151, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
261184, 3113, 2096, 1477, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
261224, 4019, 1559, 2782, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
261262, 2981, 584, 4574, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
261301, 1728, 4033, 2261, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
261339, 2100, 1972, 2925, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
