280714, 905, 2800, 2826, 84, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
280749, 939, 2726, 2870, 84, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
280789, 991, 2730, 2891, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
280829, 993, 2697, 2866, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
280870, 1004, 2649, 2935, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
280910, 1140, 2448, 2886, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
280951, 1031, 2373, 3108, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
280991, 829, 2621, 3055, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
281031, 962, 3110, 3022, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
281072, 740, 2288, 2677, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
281112, 68, 628, 1864, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
281153, 184, 398, 418, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
281193, 3642, 2147, 4514, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
281233, 3521, 421, 4016, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
281273, 2836, 4602, 3392, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
281313, 6117, 5605, 6473, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
281353, 3000, 756, 2993, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
281393, 3763, 2668, 2690, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
281433, 3557, 2779, 1755, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
281473, 3214, 2227, 2241, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
281513, 3133, 1822, 2439, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
281554, 2678, 2605, 2027, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
281591, 2730, 2519, 2115, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
281628, 2704, 2660, 2252, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
281666, 1629, 2755, 2197, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
281703, 2124, 2647, 2482, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
281741, 2126, 2659, 2471, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
281778, 2044, 2718, 2450, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
281816, 2166, 2634, 2391, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
281853, 2132, 2625, 2419, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
281891, 2185, 2569, 2295, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
281928, 2259, 2667, 2337, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
281966, 2286, 2703, 2149, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
282005, 2390, 2552, 2196, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
282045, 2321, 2693, 2090, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
282085, 2487, 2551, 2081, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
282125, 2511, 2590, 2011, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
