229037, 1224, 2787, 2806, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
229074, 1207, 2844, 2834, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
229112, 1108, 2786, 2754, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
229150, 1088, 2839, 2737, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
229186, 1044, 2761, 2842, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
229223, 874, 2739, 2961, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
229259, 766, 2688, 2943, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
229296, 728, 2694, 2978, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
229332, 792, 2646, 3043, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
229369, 881, 2521, 3049, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
229405, 798, 2560, 3018, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
229442, 980, 2504, 2966, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
229478, 1109, 2879, 2852, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
229515, 996, 2721, 2960, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
229552, 794, 2247, 2923, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
229592, 283, 1325, 2793, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
229632, -238, -10, 1505, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
229672, 757, 984, 1184, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
229712, 2008, 2023, 3761, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
229753, 3017, 3689, 2934, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
229793, 5910, 5967, 3877, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
229833, 4089, 2896, 3379, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
229873, 4954, 1956, 3356, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
229913, 2859, 2363, 1872, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
229954, 3079, 2205, 2519, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
229991, 2471, 2022, 2685, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
230029, 2346, 2020, 2894, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
230066, 1953, 2165, 2728, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
230104, 2028, 2083, 2918, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
230141, 2255, 2570, 2629, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
230179, 2144, 2329, 2594, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
230216, 2256, 2474, 2459, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
