470487, 765, 2197, 3356, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
470529, 729, 2311, 3368, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
470567, 666, 2222, 3360, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
470606, 402, 1942, 3530, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
470645, 270, 1886, 3699, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
470683, 92, 2148, 3480, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
470722, 241, 2057, 3528, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
470761, 272, 1925, 3427, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
470799, 276, 2048, 3474, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
470838, 164, 1787, 2948, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
470877, 240, 1155, 3142, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
470916, -167, 320, 2038, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
470951, 1086, 53, 3971, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
470987, 4071, 1959, 4364, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
471022, 1506, 2541, 2270, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
471058, 2385, 2210, 1511, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
471094, 4604, 4392, 3120, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
471129, 3436, 1078, 2006, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
471165, 3588, 2029, 3613, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
471201, 3447, 3418, 3079, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
471236, 2500, 2774, 2581, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
471272, 2142, 2466, 2594, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
471308, 1752, 2196, 3144, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
471349, 2172, 2077, 3062, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
471390, 2347, 1846, 3391, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
471432, 2282, 1620, 2901, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
471473, 2388, 1911, 3009, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
471515, 2422, 1718, 2875, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
471556, 2253, 1942, 2839, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
471597, 2438, 1786, 2991, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
471639, 2408, 1707, 2806, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
471680, 2385, 1904, 2914, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
471722, 2352, 1873, 2708, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
471763, 2482, 1888, 2911, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
471804, 2449, 1889, 2757, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
471845, 2578, 1784, 2721, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
471886, 2565, 1879, 2709, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
471927, 2688, 1735, 2691, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
471968, 2632, 1708, 2619, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
472009, 2711, 1690, 2578, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
472050, 2684, 1813, 2558, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
472091, 2841, 1617, 2490, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
472132, 2824, 1754, 2498, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
472173, 2897, 1614, 2468, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
472206, 2872, 1751, 2466, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
472239, 3012, 1626, 2421, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
472273, 2987, 1611, 2369, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
472306, 2983, 1728, 2319, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
472340, 3075, 1535, 2348, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
472373, 3015, 1637, 2255, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
472406, 3113, 1638, 2233, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
472440, 3076, 1698, 2174, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
472473, 3117, 1649, 2195, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
472507, 3157, 1510, 2145, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
472549, 3187, 1607, 2184, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
472591, 3237, 1569, 2153, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
472633, 3245, 1505, 2072, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
472675, 3238, 1505, 2120, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
472717, 3026, 1795, 1992, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
472759, 3406, 1279, 1983, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
472801, 3411, 1451, 2044, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
472843, 3213, 1576, 1918, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
472885, 3243, 1695, 1924, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
472928, 3295, 1793, 2036, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
472963, 3290, 1570, 1910, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
472999, 3350, 1667, 1909, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
473034, 3356, 1674, 1942, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
473070, 3400, 1637, 1795, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
473105, 3335, 1681, 1884, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
473141, 3321, 1570, 1845, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
473176, 3331, 1649, 1873, 85, 7ddd7f85-c795-48d1-88ee-b85105394d97, , transisi, transisi_duduk_ke_sujud, , 
