289853, 1393, 1409, 3615, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
289894, 1296, 1301, 3694, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
289935, 1222, 1349, 3640, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
289976, 1243, 1348, 3611, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
290017, 1219, 1254, 3782, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
290055, 1138, 1232, 3502, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
290093, 1170, 1166, 3622, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
290131, 1022, 1069, 3570, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
290169, 1070, 1083, 3594, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
290207, 1145, 986, 3627, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
290246, 914, 1051, 3463, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
290284, 911, 870, 3341, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
290322, 911, 626, 3601, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
290360, 1378, 1176, 2993, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
290398, 2190, 1618, 3069, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
290437, 2499, 262, 3993, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
290474, 2299, 547, 2695, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
290511, 2034, 1087, 2545, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
290548, 2935, 310, 3739, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
290585, 3022, 741, 3362, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
290622, 2859, 1095, 2642, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
290659, 2886, 471, 4163, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
290696, 3847, 1419, 3513, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
290733, 3462, 1442, 4852, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
290770, 2350, -70, 3083, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
290808, 2348, 564, 3824, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
290850, 1939, 1019, 3574, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
290892, 1474, 440, 3645, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
290934, 2295, 691, 3563, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
290976, 1935, 985, 3527, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
291018, 2192, 968, 3363, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
291061, 2178, 950, 3398, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
291103, 2264, 950, 3343, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
291145, 2204, 1003, 3358, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
291187, 2347, 1026, 3266, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
291229, 2289, 1059, 3324, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
291272, 2407, 937, 3243, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
291306, 2320, 946, 3326, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
291341, 2317, 984, 3305, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
291376, 2511, 958, 3188, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
291411, 2479, 909, 3242, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
291446, 2405, 1051, 3286, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
291480, 2389, 1057, 3244, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
291515, 2454, 1028, 3208, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
291550, 2445, 1036, 3190, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
291585, 2499, 1084, 3137, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
291620, 2599, 1056, 3059, 89, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
291658, 2606, 1100, 3055, 88, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
291697, 2613, 1128, 3025, 88, 967f7572-9110-44ca-b52f-4a2c5a28cb8f, , transisi, transisi_duduk_ke_sujud, , 
