355889, 1499, 1133, 3588, 84, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
355925, 1513, 1176, 3694, 84, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
355962, 1437, 1301, 3529, 84, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
355998, 1432, 1288, 3448, 84, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
356035, 1514, 1253, 3551, 84, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
356078, 1487, 1317, 3410, 84, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
356121, 1609, 1279, 3477, 84, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
356165, 1698, 1301, 3636, 84, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
356208, 1642, 1161, 3375, 84, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
356252, 1741, 1135, 3379, 84, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
356295, 1915, 1295, 3325, 84, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
356338, 1720, 1105, 3316, 84, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
356382, 1689, 975, 3435, 84, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
356425, 1806, 1079, 3433, 84, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
356469, 1969, 1275, 3379, 84, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
356502, 1660, 887, 3196, 84, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
356535, 1889, 868, 3345, 84, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
356568, 2136, 235, 3783, 84, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
356602, 2028, 90, 3379, 84, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
356635, 1775, 788, 2668, 84, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
356668, 1848, 589, 2830, 84, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
356701, 2184, 711, 3123, 84, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
356735, 3182, 870, 3386, 84, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
356768, 3247, 1120, 3161, 84, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
356801, 3244, 1180, 2845, 84, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
356835, 3677, 1774, 2501, 84, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
