190999, 2884, 1270, 2645, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
191036, 2835, 1222, 2900, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
191073, 2760, 1105, 2957, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
191110, 2660, 983, 3038, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
191147, 2546, 1185, 3045, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
191184, 2680, 1583, 2426, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
191223, 2139, 897, 1546, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
191262, 1109, -101, -1, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
191301, 1623, 350, 150, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
191341, 3645, 84, 2864, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
191380, 4589, 1159, 2538, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
191419, 7122, 5625, 5285, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
191459, 7265, 2127, 6684, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
191498, 2444, -1181, 641, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
191537, 4539, 1294, 875, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
191577, 3191, 1698, 1181, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
191615, 3916, 1695, 1673, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
191653, 3093, 1772, 1719, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
191691, 3248, 1810, 2271, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
191729, 2701, 1436, 2598, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
191767, 2733, 1632, 2733, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
191806, 2771, 1717, 2644, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
191844, 2757, 1684, 2302, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
191882, 3184, 1924, 2076, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
191920, 2436, 1708, 2746, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
191958, 2629, 2097, 2381, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
191997, 2779, 2037, 2456, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
192034, 2623, 2046, 2340, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
192071, 2720, 2153, 2223, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
192108, 2788, 2222, 2119, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
