304811, 1793, 2881, 2396, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
304849, 1808, 2804, 2429, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
304887, 1838, 2763, 2516, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
304926, 1813, 2779, 2482, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
304965, 1758, 2768, 2433, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
305004, 1822, 2784, 2443, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
305043, 1839, 2746, 2484, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
305082, 1822, 2716, 2505, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
305121, 1823, 2678, 2503, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
305160, 1848, 2668, 2593, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
305200, 1784, 2668, 2492, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
305239, 1820, 2670, 2499, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
305278, 1884, 2708, 2508, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
305317, 1807, 2590, 2536, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
305356, 1671, 2593, 2633, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
305395, 1719, 2721, 2601, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
305435, 1702, 2898, 2548, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
305473, 1628, 2545, 2546, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
305511, 1699, 2813, 2825, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
305549, 1344, 2738, 2964, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
305587, 312, 1527, 2623, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
305625, -310, 295, 1161, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
305663, 488, 1415, 1390, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
305701, 2618, 2695, 2727, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
305739, 3082, 2415, 2642, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
305777, 4133, 3424, 1805, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
305815, 4523, 4180, 1255, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
305853, 5130, 3071, 1676, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
305891, 4511, 1231, 2334, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
305930, 3755, 1741, 1705, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
305969, 939, 3589, 2464, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
306009, 2713, 1988, 2106, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
306049, 2351, 2847, 2202, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
306089, 2866, 2440, 2277, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
306128, 2200, 2915, 2004, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
306168, 2443, 2577, 2114, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
306208, 2478, 2667, 1643, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
