126640, 2730, 2239, 2269, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
126669, 2576, 2152, 2275, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
126699, 2634, 2173, 2210, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
126728, 2727, 2217, 2147, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
126758, 2816, 1997, 2149, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
126787, 2850, 1992, 2222, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
126817, 2816, 1800, 2373, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
126856, 2639, 1914, 2321, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
126895, 3138, 1968, 2299, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
126934, 3178, 1859, 2212, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
126973, 2903, 2103, 1888, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
127013, 3060, 2080, 1409, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
127052, 3178, 2323, 1586, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
127091, 3007, 2215, 1331, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
127130, 3134, 2024, 2081, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
127169, 2555, 2199, 1704, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
127209, 2124, 2021, 1075, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
127245, 2548, 2091, 1583, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
127282, 2366, 2128, 958, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
127319, 3863, 2166, 2172, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
127356, 3772, 2666, 857, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
127393, 2789, 2272, 1889, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
127429, 2236, 2677, 1702, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
127466, 3593, 2121, 1325, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
127503, 2887, 2504, 978, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
127540, 2957, 1674, 1425, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
127577, 2962, 2793, 1201, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
127614, 3110, 2294, 1556, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
127653, 3630, 7100, 3195, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
127693, 2110, -549, 4847, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
127732, 3175, 1276, 3044, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
127772, 2719, 1854, 3055, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
127811, 2269, 1915, 2938, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
127851, 2431, 1651, 2972, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
127890, 2625, 1717, 2732, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
127930, 2639, 1475, 2884, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
127969, 2681, 1436, 2884, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
128009, 2698, 1447, 2852, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
128050, 2654, 1403, 2872, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
128092, 2704, 1366, 2856, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
128134, 2736, 1358, 2855, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
128176, 2748, 1290, 2871, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
128218, 2788, 1308, 2865, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
128260, 2733, 1301, 2823, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
128302, 2784, 1261, 2832, 98, bb0bb7ac-7eab-4ad8-9749-9944d1a1db48, , transisi, transisi_duduk_ke_sujud, , 
