63725, 2595, 2446, 2913, 85, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
63761, 2855, 2241, 2151, 85, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
63798, 2134, 2005, 1954, 85, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
63835, 1748, 1952, 2894, 85, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
63872, 1388, 2411, 4010, 85, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
63912, 873, 2336, 3581, 87, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
63952, 533, 2361, 3366, 87, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
63993, 1037, 2444, 3334, 87, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
64033, 1170, 2278, 3228, 87, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
64074, 1232, 2129, 3328, 87, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
64114, 1232, 2117, 3483, 87, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
64154, 1167, 2053, 3391, 87, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
64195, 1129, 2011, 3332, 87, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
64235, 1321, 2268, 3409, 87, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
64276, 1171, 2053, 3367, 87, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
64313, 978, 1613, 3547, 87, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
64350, 1177, 1175, 3786, 87, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
64387, 1008, 1088, 4003, 87, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
64425, 942, 2024, 1468, 87, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
64462, -869, -511, -2305, 87, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
64499, 10904, 2141, 2170, 87, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
64536, 8439, -2619, 3885, 87, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
64574, 7115, 6218, 2646, 87, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
64611, 4181, 488, 3228, 87, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
64648, 3887, 2555, 3286, 87, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
