177155, 2794, 929, 2933, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
177194, 2771, 997, 2887, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
177233, 2613, 1104, 3062, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
177272, 2834, 970, 2785, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
177311, 2976, 843, 2965, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
177349, 2846, 845, 2976, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
177388, 2833, 659, 2970, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
177427, 2635, 814, 3102, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
177466, 2490, 788, 3063, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
177505, 2553, 955, 3080, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
177542, 2515, 887, 2961, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
177579, 2671, 831, 3104, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
177617, 2471, 829, 3042, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
177654, 2502, 918, 3185, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
177692, 2498, 914, 3064, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
177729, 2231, 1030, 2657, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
177767, 2681, 1177, 2547, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
177804, 2394, 1087, 2263, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
177842, 2515, 685, 2020, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
177879, 2802, 1734, 2079, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
177917, 2872, 603, 2651, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
177956, 3075, 731, 2122, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
177996, 3465, 998, 2506, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
178036, 3549, 859, 2346, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
