139654, 1995, 3077, 1910, 82, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
139690, 2025, 3142, 1974, 82, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
139727, 1957, 3189, 1799, 82, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
139763, 1954, 3152, 1914, 82, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
139800, 2012, 3089, 1992, 82, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
139836, 1979, 3069, 1921, 82, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
139873, 2055, 2990, 1920, 82, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
139909, 2135, 2985, 1950, 82, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
139946, 2195, 3021, 1820, 82, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
139982, 2204, 2860, 1997, 82, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
140019, 2056, 2809, 2048, 82, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
140060, 2098, 2924, 2129, 82, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
140101, 2015, 2847, 2139, 82, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
140142, 2171, 2800, 2106, 82, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
140183, 2202, 2828, 2132, 82, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
140225, 2114, 2568, 2064, 82, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
140266, 2288, 2618, 2099, 82, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
140307, 2257, 2699, 2240, 82, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
140348, 2094, 2602, 2335, 82, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
140389, 1952, 2609, 2677, 82, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
140431, 1562, 2825, 2812, 82, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
140471, 1150, 2703, 3042, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
140512, 892, 2608, 2110, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
140552, 1512, 3205, 1784, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
140593, 1850, 1754, 1273, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
140634, 2270, 2088, 1917, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
140674, 2633, 3253, 2876, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
140715, 1880, 2484, 2704, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
