255120, 1968, 2830, 2154, 90, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
255158, 1958, 2931, 2199, 90, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
255197, 1953, 3036, 2205, 90, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
255235, 1900, 2817, 2150, 90, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
255273, 1928, 2903, 2230, 90, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
255311, 1870, 2997, 2191, 90, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
255349, 1783, 2939, 2368, 90, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
255387, 1796, 2987, 2284, 90, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
255426, 1767, 2817, 2409, 90, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
255465, 1641, 2734, 2527, 88, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
255504, 1708, 2843, 2481, 88, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
255544, 1810, 2691, 2445, 88, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
255583, 1933, 2659, 2364, 88, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
255623, 1943, 2449, 2552, 88, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
255662, 1995, 2569, 2592, 88, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
255702, 1954, 2747, 2523, 88, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
255741, 1983, 2977, 2655, 88, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
255781, 1222, 2145, 2610, 88, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
255820, 484, 1129, 1672, 88, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
255860, 703, 1714, 594, 88, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
255899, 1854, 843, 1919, 88, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
255939, 3125, 2190, 2749, 88, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
255976, 3843, 2644, 2297, 88, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
256014, 4747, 1968, 1139, 88, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
256052, 5374, 3899, 1402, 88, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
256090, 5323, 2389, 1027, 88, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
256128, 6583, 644, 2793, 88, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
256166, 1826, 3155, 2322, 88, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
256203, 1946, 2427, 2214, 88, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
256241, 3010, 1907, 2291, 88, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
256279, 2680, 2692, 2277, 88, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
256317, 2606, 2611, 1965, 88, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
256355, 2681, 2458, 1924, 88, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
256393, 2778, 2820, 1827, 88, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
256431, 2861, 2368, 1760, 88, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
256469, 2685, 2779, 1701, 86, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
256507, 2850, 2619, 1550, 86, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
256545, 2853, 2519, 1548, 86, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
256583, 2891, 2557, 1421, 86, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
256621, 2960, 2683, 1387, 86, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
256659, 2907, 2382, 1289, 86, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
256698, 3006, 2667, 1174, 86, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
256736, 2994, 2689, 1157, 86, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
256774, 3106, 2552, 1084, 86, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
256812, 3050, 2574, 1031, 86, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
256850, 3111, 2536, 1031, 86, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
256888, 3177, 2404, 882, 86, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
256927, 3289, 2364, 910, 86, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
256966, 3322, 2255, 846, 86, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
257006, 3365, 2237, 862, 86, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
257045, 3394, 2335, 819, 86, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
257085, 3353, 2247, 787, 86, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
257125, 3437, 2208, 792, 86, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
257164, 3416, 2134, 695, 86, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
257204, 3366, 2111, 649, 86, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
257243, 3503, 1882, 712, 86, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
257283, 3603, 2284, 694, 86, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
257323, 3438, 2073, 631, 86, cf60cc15-fae8-4b22-aceb-e0f8ae463956, , transisi, transisi_duduk_ke_sujud, , 
