107836, 1402, 1462, 3677, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
107870, 1354, 1465, 3614, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
107904, 1228, 1408, 3515, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
107938, 1242, 1432, 3679, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
107972, 1089, 1532, 3639, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
108006, 1085, 1325, 3669, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
108040, 1075, 1298, 3655, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
108080, 1152, 1423, 3547, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
108120, 1225, 1501, 3565, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
108161, 1356, 1507, 3566, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
108201, 1349, 1342, 3515, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
108242, 1489, 1490, 3421, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
108282, 1594, 1478, 3380, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
108322, 1624, 1272, 3403, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
108363, 1681, 1188, 3393, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
108403, 1842, 1161, 3468, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
108444, 2073, 1417, 3265, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
