75422, 979, 3285, 2314, 50, d2d55573-4721-49c6-8916-6ad10a9cfa19, , transisi, transisi_duduk_ke_sujud, , 
75461, 1008, 3295, 2361, 50, d2d55573-4721-49c6-8916-6ad10a9cfa19, , transisi, transisi_duduk_ke_sujud, , 
75500, 993, 3124, 2480, 50, d2d55573-4721-49c6-8916-6ad10a9cfa19, , transisi, transisi_duduk_ke_sujud, , 
75539, 1009, 3145, 2477, 50, d2d55573-4721-49c6-8916-6ad10a9cfa19, , transisi, transisi_duduk_ke_sujud, , 
75578, 885, 3084, 2553, 50, d2d55573-4721-49c6-8916-6ad10a9cfa19, , transisi, transisi_duduk_ke_sujud, , 
75618, 915, 3043, 2382, 50, d2d55573-4721-49c6-8916-6ad10a9cfa19, , transisi, transisi_duduk_ke_sujud, , 
75656, 886, 3071, 2450, 50, d2d55573-4721-49c6-8916-6ad10a9cfa19, , transisi, transisi_duduk_ke_sujud, , 
75695, 863, 2921, 2447, 50, d2d55573-4721-49c6-8916-6ad10a9cfa19, , transisi, transisi_duduk_ke_sujud, , 
75733, 1022, 3089, 2485, 50, d2d55573-4721-49c6-8916-6ad10a9cfa19, , transisi, transisi_duduk_ke_sujud, , 
75772, 882, 2967, 2487, 50, d2d55573-4721-49c6-8916-6ad10a9cfa19, , transisi, transisi_duduk_ke_sujud, , 
75811, 892, 2952, 2443, 50, d2d55573-4721-49c6-8916-6ad10a9cfa19, , transisi, transisi_duduk_ke_sujud, , 
75849, 928, 3085, 2454, 50, d2d55573-4721-49c6-8916-6ad10a9cfa19, , transisi, transisi_duduk_ke_sujud, , 
75888, 905, 3016, 2544, 50, d2d55573-4721-49c6-8916-6ad10a9cfa19, , transisi, transisi_duduk_ke_sujud, , 
75927, 739, 3106, 2465, 50, d2d55573-4721-49c6-8916-6ad10a9cfa19, , transisi, transisi_duduk_ke_sujud, , 
75965, 531, 2916, 2433, 50, d2d55573-4721-49c6-8916-6ad10a9cfa19, , transisi, transisi_duduk_ke_sujud, , 
76004, 496, 2026, 1689, 50, d2d55573-4721-49c6-8916-6ad10a9cfa19, , transisi, transisi_duduk_ke_sujud, , 
76043, 664, 766, 873, 50, d2d55573-4721-49c6-8916-6ad10a9cfa19, , transisi, transisi_duduk_ke_sujud, , 
76081, -1197, 2158, 3957, 50, d2d55573-4721-49c6-8916-6ad10a9cfa19, , transisi, transisi_duduk_ke_sujud, , 
