152111, 916, 2846, 2801, 80, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
152151, 902, 2864, 2835, 80, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
152191, 865, 2880, 2804, 80, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
152231, 814, 2823, 2795, 80, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
152270, 760, 2870, 2855, 80, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
152310, 710, 2830, 2873, 80, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
152350, 655, 2874, 2875, 80, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
152390, 652, 2931, 2835, 80, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
152425, 717, 2875, 2819, 80, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
152461, 605, 2687, 2999, 80, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
152497, 571, 2639, 3029, 80, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
152533, 487, 2701, 2956, 80, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
152569, 472, 2748, 2974, 80, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
152605, 466, 2664, 2953, 80, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
152641, 505, 2764, 3080, 80, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
152677, 631, 3004, 2897, 80, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
152713, 435, 2413, 2827, 80, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
152749, -214, 897, 1955, 80, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
152792, -359, 686, 157, 80, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
152835, 3539, -729, 2356, 80, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
152879, 4809, 991, 2435, 80, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
152922, 3313, 4144, 1308, 80, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
