179303, 1594, 2946, 2437, 90, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
179340, 1569, 2976, 2441, 90, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
179378, 1586, 2939, 2469, 90, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
179416, 1525, 2899, 2485, 90, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
179459, 1446, 2910, 2546, 90, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
179502, 1224, 2905, 2694, 90, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
179545, 1264, 2920, 2591, 90, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
179588, 1475, 2896, 2559, 90, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
179632, 1437, 2874, 2538, 90, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
179675, 1572, 2676, 2612, 90, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
179718, 1458, 2766, 2614, 90, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
179761, 1407, 2725, 2639, 90, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
179805, 1334, 2742, 2686, 90, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
179848, 1303, 2771, 2768, 90, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
179891, 1295, 2694, 2817, 90, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
179934, 1138, 2614, 2841, 90, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
179978, 1079, 2567, 2965, 90, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
180014, 1098, 3081, 2691, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
180050, 764, 2558, 2485, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
180086, 212, 1858, 1801, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
180122, -283, 986, 135, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
180158, 2153, 1544, 2255, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
180194, 3300, 2110, 2479, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
180231, 4802, 2599, 2135, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
180267, 4173, 3550, 4201, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
180303, 4564, 2494, 2081, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
180339, 4316, 2207, 822, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
180375, 5404, 2534, 1142, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
180411, 3927, 1193, 3062, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
180448, 1555, 3430, 2213, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
180490, 1940, 2764, 2561, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
180532, 2848, 2213, 2109, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
180574, 2294, 3094, 2015, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
180616, 2428, 2754, 2064, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
180658, 2561, 2701, 2126, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
180700, 2481, 2639, 1966, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
180742, 2643, 2745, 1906, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
180784, 2501, 2827, 1632, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
180826, 2706, 2683, 1697, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
180868, 2672, 2734, 1555, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
180910, 2849, 2487, 1561, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
180952, 2793, 2611, 1366, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
180995, 2897, 2713, 1426, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
181029, 2951, 2615, 1351, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
