374443, 908, 2173, 3382, 71, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
374480, 803, 2114, 3411, 71, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
374518, 667, 2156, 3502, 71, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
374558, 671, 2126, 3507, 71, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
374599, 582, 2061, 3501, 71, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
374640, 657, 2022, 3539, 71, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
374681, 645, 2017, 3473, 71, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
374722, 739, 2057, 3488, 71, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
374762, 755, 2041, 3428, 71, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
374803, 563, 1946, 3388, 71, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
374844, 429, 1931, 3540, 71, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
374885, 352, 1814, 3302, 71, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
374926, -56, 1295, 3106, 71, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
374965, -90, 682, 2840, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
375004, 2014, 1478, 1895, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
375043, 1220, 932, 3541, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
375082, 1821, 1262, 2620, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
375121, 2914, 1897, 2465, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
375160, 2133, 2335, 3145, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
375199, 3017, 3255, 2090, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
375238, 1889, 1871, 3546, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
375277, 5132, 3770, 3750, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
375316, 3670, 1179, 2770, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
375355, 2383, 1514, 3396, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
375391, 1762, 2199, 2790, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
375428, 2296, 1879, 3152, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
375465, 2318, 1613, 3195, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
375502, 2143, 1941, 2903, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
375539, 2385, 1919, 2972, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
375575, 2572, 1688, 3054, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
375612, 2346, 1809, 2940, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
375649, 2437, 1676, 2925, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
375686, 2329, 1912, 2949, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
375723, 2553, 1528, 2859, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
375764, 2337, 1920, 2819, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
375806, 2507, 1632, 2841, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
375848, 2518, 1743, 2763, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
375889, 2600, 1680, 2733, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
375931, 2538, 1870, 2724, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
375973, 2679, 1652, 2737, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
376014, 2702, 1779, 2648, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
376056, 2767, 1627, 2659, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
376098, 2872, 1594, 2511, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
376140, 2889, 1593, 2502, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
376173, 2953, 1457, 2664, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
376207, 2900, 1518, 2500, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
376240, 3037, 1252, 2556, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
376274, 2934, 1598, 2408, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
376308, 3011, 1487, 2451, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
376341, 2926, 1589, 2394, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
376375, 2980, 1477, 2353, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
376409, 3114, 1439, 2334, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
376442, 3161, 1302, 2355, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
376476, 3095, 1467, 2201, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
376510, 3179, 1252, 2279, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
376551, 3195, 1395, 2277, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
376592, 3118, 1237, 2183, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
376633, 3206, 1474, 2331, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
376674, 3329, 1355, 2264, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
376715, 3216, 1411, 2137, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
376756, 3310, 1410, 2184, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
376797, 3298, 1303, 2086, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
376838, 3305, 1312, 2081, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
376879, 3291, 1328, 2064, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
376921, 3354, 1383, 2104, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
376957, 3188, 1621, 1974, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
376993, 3489, 1131, 1909, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
377029, 3387, 1299, 1941, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
377066, 3324, 1178, 1983, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
377102, 3368, 1175, 1950, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
377138, 3413, 1075, 2000, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
377174, 3566, 1392, 2023, 72, f2e46b7a-5570-47ac-bdec-6290579f2e08, , transisi, transisi_duduk_ke_sujud, , 
