44110, 2597, 1476, 2924, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
44150, 2619, 1522, 2930, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
44191, 2524, 1445, 2977, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
44231, 2524, 1363, 3072, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
44271, 2433, 1407, 3116, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
44311, 2340, 1611, 2919, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
44351, 2302, 1492, 3066, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
44392, 2197, 1518, 3099, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
44429, 2084, 1717, 3014, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
44467, 2101, 1731, 2977, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
44504, 1948, 1606, 2877, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
44542, 1990, 1977, 2949, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
44580, 1973, 1469, 3153, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
44617, 2011, 1445, 3360, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
44655, 1923, 1576, 3215, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
44693, 1851, 1437, 3196, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
44730, 1696, 1392, 3002, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
44768, 1504, 1540, 2805, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
44806, 1497, 1366, 3012, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
44844, 1601, 1607, 2545, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
44882, 1632, 1807, 2846, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
44920, 1953, 1444, 3022, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
